objID	objStat	objName	chr	startpos	endpos	strand	treesize	usedseqlength	branchlength	genelength
57	124995	0.0531829589358814	MRPL10	17	47823272	47831541	-1	9	256	0.004948	8270
58	245938	0.0376060298382997	DEFB125	20	87710	96655	1	9	146	0.024637	8946
59	24149	0	ZNF318	6	43336070	43369443	-1	9	2197	0.000856	33374
60	9547	0	CXCL14	5	135570679	135579279	-1	6	111	0.022687	8601
61	4714	0.0376060298382997	NDUFB8	10	100523729	100529923	-1	10	186	0.012158	6195
62	80010	0.0376060341136101	RMI1	9	83980720	84004074	1	8	625	0.019717	23355
63	79109	0	MAPKAP1	9	125437394	125707234	-1	8	522	0.002366	269841
64	6811	0	STX5	11	62806860	62832091	-1	7	355	0.005763	25232
65	7453	0	WARS	14	100333788	100376343	-1	6	471	0.007748	42556
66	51316	0	PLAC8	4	83090048	83114758	-1	7	115	0.009124	24711
67	5692	0	PSMB4	1	151399565	151401936	1	8	264	0.011805	2372
68	2178	0	FANCE	6	35452339	35467141	1	7	536	0.03302	14803
69	3364	0.0562341328031946	HUS1	7	47963285	47979625	-1	8	280	0.007174	16341
70	2821	0	GPI	19	34364740	34402413	1	7	558	0.027879	37674
71	51079	0	NDUFA13	19	19516210	19528204	1	5	144	0.044895	11995
72	56937	0	PMEPA1	20	57648392	57711536	-1	8	252	0.008412	63145
73	8992	0	ATP6V0E1	5	172983760	173034897	1	8	81	0.013259	51138
74	23643	0	LY96	8	73991329	74029079	1	8	160	0.008087	37751
75	8564	0.707219891129127	KMO	1	241532024	241595647	1	8	486	0.009339	63624
76	10873	0.0376060341136101	ME3	11	86441108	86672636	-1	8	604	0.006811	231529
77	4199	0	ME1	6	83210389	83431219	-1	6	572	0.001453	220831
78	4200	0	ME2	18	50879062	50949795	1	7	584	0.00188	70734
79	51155	0.876243149944579	HN1	17	75135243	75154683	-1	5	178	0.006554	19441
80	56005	0	C19orf10	19	4657545	4670403	-1	5	173	0.014596	12859
81	79959	0	CEP76	18	12661753	12702777	-1	7	659	0.001674	41025
82	29851	0.872116170995362	ICOS	2	203936731	203961579	1	7	199	0.005511	24849
83	2746	0	GLUD1	10	87050202	87095019	-1	7	558	0.00188	44818
84	2747	0.641554386642866	GLUD2	X	121047608	121049942	1	7	558	0.01504	2335
85	3569	0	IL6	7	22727147	22732002	1	6	212	0.008524	4856
86	10556	0	RPP30	10	90871952	90908555	1	7	268	0.015274	36604
87	5552	0	SRGN	10	69088072	69104811	1	8	156	0.015266	16740
88	3399	0.00177847684261511	ID3	1	23557930	23559794	-1	7	119	0.016971	1865
89	3397	0.0376060309071274	ID1	20	31605283	31606515	1	6	155	0.014722	1233
90	978	0	CDA	1	20588951	20618908	1	7	146	0.007542	29958
91	55250	0	ELP2	18	36129874	36174725	1	7	826	0.00279	44852
92	83734	0.916045219567343	ATG10	5	81972025	82256139	1	6	220	0.00502	284115
93	22928	0	SEPHS2	16	30443625	30445975	-1	7	360	0.005933	2351
94	6747	0	SSR3	3	156540140	156555184	-1	9	185	0.00548	15045
95	23279	0	NUP160	11	47778102	47848505	-1	6	1434	0.002641	70404
96	29982	0	NRBF2	10	63133247	63155031	1	10	287	0.009522	21785
97	7386	0	UQCRFS1	19	29207260	29213229	-1	10	274	0.012032	5970
98	9282	0	MED14	X	40649543	40736122	-1	7	1454	0.002851	86580
99	6621	0	SNAPC4	9	136375569	136400208	-1	7	1451	0.008025	24640
100	4602	0	MYB	6	135181315	135219173	1	8	761	0.005328	37859
101	4603	0	MYBL1	8	66562175	66613249	-1	6	733	0.011644	51075
102	4605	0	MYBL2	20	43667019	43716496	1	8	700	0.000447	49478
103	570	0.632208334201615	BAAT	9	101360417	101385005	-1	7	418	0.010187	24589
104	10965	0.727512869846459	ACOT2	14	73567620	73575658	1	6	463	0.005033	8039
105	122970	0	ACOT4	14	73591659	73595766	1	8	421	0.01246	4108
106	3606	0.811200093149446	IL18	11	112143251	112164117	-1	7	193	0.005311	20867
107	79577	0	CDC73	1	193121958	193254815	1	6	531	0.001903	132858
108	50846	0	DHH	12	49089421	49094819	-1	6	396	0.004526	5399
109	3549	0	IHH	2	219054420	219060516	-1	7	411	0.018476	6097
110	6469	0	SHH	7	155802864	155812273	-1	5	462	0.003412	9410
111	64928	0	MRPL14	6	44113635	44127454	-1	6	145	0.015287	13820
112	10419	0	PRMT5	14	22920511	22929585	-1	7	637	0.001507	9075
113	57325	0	CSRP2BP	20	18142224	18188387	1	7	782	0.003365	46164
114	54949	0	SDHAF2	11	61430125	61446767	1	7	166	0.005108	16643
115	79727	0	LIN28A	1	26410778	26429728	1	10	209	0.029252	18951
116	3297	0	HSF1	8	144291588	144314722	1	5	526	0.002205	23135
117	91703	0	ACY3	11	67642555	67650659	-1	7	319	0.005182	8105
118	443	0	ASPA	17	3474110	3499406	1	7	313	0.016443	25297
119	1340	0	COX6B1	19	35648223	35658784	1	7	86	0.040898	10562
120	65018	0.731585752124684	PINK1	1	20633455	20651511	1	6	581	0.022669	18057
121	9125	0	RQCD1	2	218568580	218596435	1	10	299	0.004568	27856
122	11315	0	PARK7	1	7961654	7985282	1	9	189	0.016536	23629
123	140606	0	SELM	22	31104777	31107565	-1	5	144	0.003082	2789
124	3705	0	ITPK1	14	92936914	93115918	-1	6	414	0.025203	179005
125	64343	0	AZI2	3	28322353	28349424	-1	9	392	0.005145	27072
126	4848	0.0376060298382997	CNOT2	12	70242882	70354993	1	6	540	0.003976	112112
127	9049	0	AIP	11	67483034	67491108	1	6	330	0.012613	8075
128	2055	0	CLN8	8	1755778	1786570	1	6	286	0.022629	30793
129	8379	0	MAD1L1	7	1815792	2232948	-1	8	718	0.00515	417157
130	55811	1.52988824857056	ADCY10	1	167809120	167914369	-1	6	1610	0.026717	105250
131	8165	0.642566913058744	AKAP1	17	57085092	57121349	1	8	895	0.004576	36258
132	1393	0	CRHBP	5	76952855	76969474	1	6	322	0.019194	16620
133	6240	0	RRM1	11	4094694	4138876	1	8	792	0.002422	44183
134	25936	0	NSL1	1	212726153	212791797	-1	7	281	0.006205	65645
135	5564	0	PRKAB1	12	119667864	119681624	1	8	270	0.005392	13761
136	5565	0.00586106968564356	PRKAB2	1	147155106	147172589	-1	8	272	0.003725	17484
137	2547	0	XRCC6	22	41621163	41664048	1	11	609	0.004405	42886
138	6187	0	RPS2	16	1962061	1964826	-1	30	293	0.182984	2766
139	60412	0.201361043562829	EXOC4	7	133253067	134065761	1	5	974	0.003713	812695
140	2524	0	FUT2	19	48695971	48705934	1	5	340	0.013672	9964
141	2523	0	FUT1	19	48748011	48755390	-1	6	366	0.049559	7380
142	1399	0	CRKL	22	20917426	20953749	1	6	303	0.002879	36324
143	200081	0	TXLNA	1	32179695	32198285	1	7	546	0.006182	18591
144	55787	0	TXLNG	X	16786432	16844519	1	5	524	0.012959	58088
145	9627	0	SNCAIP	5	122311558	122464099	1	8	970	0.005016	152542
146	54700	0	RRN3	16	15060022	15094311	-1	5	607	0.0031	34290
147	138050	0	HGSNAT	8	43140449	43202827	1	6	635	0.178371	62379
148	245930	0	DEFB116	20	31303212	31308585	-1	6	102	0.022071	5374
149	255967	0.855697695807359	PAN3	13	28136860	28295338	1	7	741	0.004246	158479
150	28998	0.0376060319759551	MRPL13	8	120395844	120445407	-1	7	178	0.007895	49564
151	644414	0.852187482987441	DEFB131	4	9444534	9450514	1	5	70	0.015592	5981
152	64320	0	RNF25	2	218663864	218672058	-1	7	459	0.002534	8195
153	121441	0	NEDD1	12	96907223	96953696	1	8	660	0.002463	46474
154	84153	0	RNASEH2C	11	65717673	65720938	-1	6	164	0.014865	3266
155	64151	0	NCAPG	4	17810813	17845719	1	7	1015	0.00111	34907
156	4154	0	MBNL1	3	152244321	152465780	1	7	387	0.001347	221460
157	7018	0	TF	3	133746133	133779006	1	7	697	0.008854	32874
158	4057	0	LTF	3	46436005	46465142	-1	7	710	0.049267	29138
159	6880	0	TAF9	5	69364743	69370013	-1	6	263	0.020044	5271
160	166929	0	SGMS2	4	107824565	107915047	1	8	365	0.005609	90483
161	259230	0	SGMS1	10	50305585	50623977	-1	9	419	0.004904	318393
162	116028	0	RMI2	16	11345454	11351760	1	8	147	0.009816	6307
163	84274	0	COQ5	12	120503279	120529161	-1	6	327	0.005182	25883
164	4126	0.0376060341136101	MANBA	4	102631486	102760994	-1	8	879	0.006399	129509
165	51074	0	APIP	11	34882295	34916411	-1	6	224	0.004736	34117
166	84174	0.336332285008363	SLA2	20	36612519	36646216	-1	8	261	0.015985	33698
167	6503	0	SLA	8	133036728	133103066	-1	8	276	0.003768	66339
168	143662	0.0447213582507106	MUC15	11	26559032	26572268	-1	8	359	0.012503	13237
169	2820	0	GPD2	2	156435453	156586403	1	8	727	0.002852	150951
170	4686	0	NCBP1	9	97633423	97673748	1	8	790	0.006967	40326
171	642	1.05987467299327	BLMH	17	30248195	30292166	-1	8	455	0.004721	43972
172	64960	0	MRPS15	1	36455761	36464439	-1	10	257	0.021553	8679
173	920	0	CD4	12	6789472	6820810	1	7	458	0.004529	31339
174	22994	0.766874781686407	CEP131	17	81189593	81222983	-1	7	1082	0.006549	33391
175	23332	0	CLASP1	2	121337776	121649476	-1	8	1538	0.002162	311701
176	23122	0	CLASP2	3	33496245	33718356	-1	6	1502	0.003842	222112
177	5264	0	PHYH	10	13277796	13300138	-1	7	338	0.00424	22343
178	23626	0	SPO11	20	57329775	57343993	1	7	396	0.002624	14219
179	55821	0	ALLC	2	3658196	3702671	1	7	410	0.002149	44476
180	8481	0	OFD1	X	13715430	13769361	1	7	1012	0.001804	53932
181	51497	0	NELFCD	20	58981208	58995133	1	8	590	0.013332	13926
182	8894	0.894863603518516	EIF2S2	20	34088309	34112279	-1	9	333	0.003046	23971
183	25904	0	CNOT10	3	32685145	32773875	1	7	744	0.001423	88731
184	92552	0	ATXN3L	X	13318647	13320399	-1	5	353	0.019781	1753
185	4287	0	ATXN3	14	92058552	92106621	-1	5	360	0.006718	48070
186	5828	0.00811661884605882	PEX2	8	76980258	77001044	-1	7	305	0.002917	20787
187	7372	0	UMPS	3	124730366	124749273	1	7	480	0.002016	18908
188	613210	0	DEFB136	8	11973937	11974599	-1	7	78	0.012366	663
189	10397	0	NDRG1	8	133237171	133297304	-1	8	394	0.004342	60134
190	57447	0	NDRG2	14	21016763	21070872	-1	8	371	0.002884	54110
191	64969	0	MRPS5	2	95087207	95122009	-1	6	430	0.083816	34803
192	1447	0.899536679383205	CSN2	4	69955256	69961008	-1	8	226	0.007604	5753
193	10084	0	PQBP1	X	48897908	48903145	1	9	265	0.003841	5238
194	5105	0	PCK1	20	57561081	57566459	1	8	622	0.013779	5379
195	5106	0	PCK2	14	24094138	24104130	1	5	640	0.019397	9993
196	1861	1.74536079193418	TOR1A	9	129812942	129824162	-1	7	344	0.009175	11221
197	112398	0	EGLN2	19	40799143	40808441	1	7	407	0.022993	9299
198	112399	0.0376060319759551	EGLN3	14	33924215	33951078	-1	8	239	0.00419	26864
199	51330	0	TNFRSF12A	16	3020312	3022383	1	7	129	0.015411	2072
200	515	0	ATP5F1	1	111448845	111461918	1	10	256	0.00841	13074
201	11231	0	SEC63	6	107867756	107958278	-1	7	760	0.001323	90523
202	2671	0	GFER	16	1984149	1987749	1	5	205	0.015431	3601
203	440	0.534239630625176	ASNS	7	97852117	97872542	-1	8	561	0.005423	20426
204	8717	0	TRADD	16	67154185	67159909	-1	7	311	0.01117	5725
205	81855	0	SFXN3	10	101031239	101041241	1	7	325	0.010639	10003
206	112849	0.0632455531634477	L3HYPDH	14	59458966	59484473	-1	7	354	0.014576	25508
207	3631	0	INPP4A	2	98444858	98591598	1	8	972	0.005504	146741
208	8821	0	INPP4B	4	142028028	142846451	-1	7	924	0.000913	818424
209	54948	0	MRPL16	11	59806135	59810872	-1	9	251	0.010503	4738
210	83464	1.20134582452988	APH1B	15	63277550	63309126	1	5	257	0.012675	31577
211	10269	0	ZMPSTE24	1	40258050	40294184	1	5	454	0.005111	36135
212	9477	0	MED20	6	41905354	41921139	-1	5	212	0.003431	15786
213	55824	0	PAG1	8	80967810	81112068	-1	9	432	0.015142	144259
214	253260	0	RICTOR	5	38937920	39074408	-1	8	1708	0.000523	136489
215	8772	0	FADD	11	70203163	70207402	1	6	208	0.011788	4240
216	4074	0.0994962056341791	M6PR	12	8940361	8949761	-1	8	278	0.00747	9401
217	29093	0	MRPL22	5	154941073	154969411	1	5	206	0.004242	28339
218	4706	1.18519828918425	NDUFAB1	16	23581014	23596318	-1	8	156	0.021722	15305
219	58191	0	CXCL16	17	4733529	4739928	-1	9	271	0.017799	6400
220	123283	0.165487545940602	TARSL2	15	101653752	101724604	-1	7	793	0.015619	70853
221	6897	0.224672467962455	TARS	5	33440696	33468091	1	7	723	0.0083	27396
222	80222	0	TARS2	1	150487364	150507609	1	8	718	0.002284	20246
223	169355	0	IDO2	8	39934955	40016391	1	5	403	0.003586	81437
224	3620	0	IDO1	8	39913809	39928790	1	7	401	0.010821	14982
225	388531	0.671812000380984	RGS9BP	19	32675407	32678300	1	7	235	0.005227	2894
226	51259	0	TMEM216	11	61392360	61398863	1	5	84	0.012071	6504
227	9114	0	ATP6V0D1	16	67438014	67481186	-1	7	351	0.019544	43173
228	245972	0.00528455686509533	ATP6V0D2	8	86098910	86154225	1	6	350	0.008452	55316
229	2071	0	ERCC3	2	127257290	127294176	-1	7	782	0.000938	36887
230	2620	0.0376060298382997	GAS2	11	22666614	22813001	1	9	313	0.006822	146388
231	2052	0	EPHX1	1	225810095	225845563	1	6	455	0.00692	35469
232	55775	0	TDP1	14	89955600	90044764	1	8	608	0.004486	89165
233	6452	0	SH3BP2	4	2793023	2841096	1	6	568	0.009121	48074
234	57405	0.00477583210332711	SPC25	2	168870891	168890767	-1	6	224	0.004467	19877
235	95681	0.0376060298382997	CEP41	7	130393771	130441210	-1	8	373	0.0087	47440
236	1355	0	COX15	10	99696131	99732666	-1	8	410	0.017568	36536
237	252983	0.830019582648275	STXBP4	17	54968765	55164285	1	8	553	0.001798	195521
238	55315	0	SLC29A3	10	71319253	71363390	1	7	475	0.008965	44138
239	2030	0	SLC29A1	6	44219505	44234151	1	9	456	0.002264	14647
240	3177	1.16300176413654	SLC29A2	11	66362521	66372265	-1	5	456	0.050829	9745
241	222962	0	SLC29A4	7	5274464	5304073	1	5	528	0.023386	29610
242	81030	0	ZBP1	20	57603846	57620576	-1	7	429	0.015263	16731
243	197258	0	FUK	16	70454584	70480274	1	8	1084	0.00715	25691
244	23173	0	METAP1	4	98995637	99062809	1	9	386	0.010268	67173
245	55290	0	BRF2	8	37843880	37849913	-1	8	419	0.017468	6034
246	1535	0.285651130851589	CYBA	16	88643289	88651084	-1	6	195	0.042468	7796
247	10569	0	SLU7	5	160401641	160419161	-1	8	586	0.004326	17521
248	245908	0	DEFB105A	8	7822008	7823838	-1	7	78	0.012828	1831
249	4331	0	MNAT1	14	60734741	60968680	1	5	309	4e-06	233940
250	8731	0	RNMT	18	13726660	13764556	1	8	476	0.012311	37897
251	25946	0	ZNF385A	12	54369129	54391299	-1	7	386	0.019057	22171
252	9489	0	PGS1	17	78378624	78424659	1	6	556	0.020036	46036
253	646625	0	URAD	13	27978106	27988637	-1	7	173	0.008718	10532
254	5350	0.935489521894384	PLN	6	118548279	118560424	1	6	52	0.019786	12146
255	84701	0	COX4I2	20	31637882	31645032	1	6	171	0.016916	7151
256	1327	0	COX4I1	16	85799567	85807002	1	8	169	0.034774	7436
257	7353	0	UFD1L	22	19449941	19479295	-1	9	307	0.004044	29355
258	318	0.0562341324835405	NUDT2	9	34329506	34343713	1	9	147	0.01372	14208
259	84265	0	POLR3GL	1	145959014	145978848	1	5	218	0.009101	19835
260	6924	0	TCEB3	1	23743366	23762059	1	8	772	0.003209	18694
261	3381	0	IBSP	4	87799550	87812449	1	8	317	0.002145	12900
262	6696	0	SPP1	4	87975650	87983411	1	6	314	0.03139	7762
263	375775	0	PNPLA7	9	137459952	137550613	-1	6	1295	0.008089	90662
264	10908	0.650803016836645	PNPLA6	19	7534152	7561767	1	7	1374	0.009788	27616
265	8995	0	TNFSF18	1	173041220	173050963	-1	7	199	0.004137	9744
266	54913	0	RPP25	15	74955102	74957434	-1	6	199	0.010026	2333
267	4717	0.00813800781246875	NDUFC1	4	139289917	139302551	-1	7	76	0.026486	12635
268	199857	0	ALG14	1	94982723	95072956	-1	8	216	0.002216	90234
269	55788	0.644396550656898	LMBRD1	6	69675749	69797157	-1	7	540	0.00985	121409
270	9559	0	VPS26A	10	69124152	69172861	1	6	327	0.006441	48710
271	2537	0.908395510820057	IFI6	1	27666061	27672213	-1	8	130	0.0149	6153
272	1777	0	DNASE2	19	12875211	12881521	-1	8	360	0.002495	6311
273	58511	0	DNASE2B	1	84398532	84415008	1	8	361	0.002524	16477
274	6185	0	RPN2	20	37179051	37241623	1	9	631	0.004575	62573
275	3646	0	EIF3E	8	108201743	108248730	-1	8	445	0.002352	46988
276	93100	0.909073786834711	NAPRT	8	143574785	143578351	-1	8	559	0.010477	3567
277	8664	0	EIF3D	22	36510850	36529230	-1	7	548	0.001368	18381
278	7507	0	XPA	9	97634451	97697409	-1	5	272	0.027574	62959
279	90423	0	ATP6V1E2	2	46511847	46542412	-1	8	226	0.016298	30566
280	783	0	CACNB2	10	18140677	18541759	1	5	589	0.011215	401083
281	782	0	CACNB1	17	39173456	39197703	-1	6	598	0.00145	24248
282	784	0	CACNB3	12	48814432	48828943	1	7	484	0.006615	14512
283	91942	1.00878797701622	NDUFAF2	5	60945129	61153037	1	7	169	0.011989	207909
284	7135	0	TNNI1	1	201403767	201421746	-1	7	187	0.01187	17980
285	7137	0	TNNI3	19	55151767	55157732	-1	7	210	0.016115	5966
286	7136	0	TNNI2	11	1839003	1841680	1	7	178	0.036577	2678
287	55957	0	LIN37	19	35748361	35754519	1	6	246	0.006594	6159
288	55778	0	ZNF839	14	102317377	102343174	1	5	806	0.021254	25798
289	5805	0	PTS	11	112226365	112233973	1	5	145	0.014668	7609
290	1337	0	COX6A1	12	120438090	120440742	1	15	109	0.010264	2653
291	1339	0	COX6A2	16	31427731	31428428	-1	6	97	0.030129	698
292	7095	0	SEC62	3	169966792	169998373	1	8	399	0.002514	31582
293	23475	0	QPRT	16	29679042	29698003	1	5	293	0.031386	18962
294	6470	0	SHMT1	17	18327860	18363563	-1	8	483	0.005852	35704
295	2271	0	FH	1	241497557	241519785	-1	7	510	0.001971	22229
296	8878	0	SQSTM1	5	179806388	179838078	1	7	440	0.034836	31691
297	55696	0	RBM22	5	150690790	150701107	-1	7	420	0.005191	10318
298	6742	0.834857095570563	SSBP1	7	141738321	141750488	1	7	148	0.00593	12168
299	10623	0	POLR3C	1	145824141	145842505	1	7	534	0.001899	18365
300	152789	0	JAKMIP1	4	6026199	6200591	-1	5	824	0.005339	174393
301	222	0	ALDH3B2	11	67662162	67681214	-1	6	385	0.043385	19053
302	218	0	ALDH3A1	17	19737984	19748433	-1	5	436	0.037111	10450
303	224	0	ALDH3A2	17	19648751	19677595	1	8	508	0.004917	28845
304	57820	0.00864278451453245	CCNB1IP1	14	20311368	20333312	-1	8	277	0.003725	21945
305	3176	0	HNMT	2	137964238	138016364	1	9	292	0.018739	52127
306	637	0	BID	22	17734140	17774665	-1	8	226	0.007158	40526
307	80145	0	THOC7	3	63833870	63864396	-1	8	202	0.005196	30527
308	276	0	AMY1A	1	103651199	103664552	1	12	511	0.002292	13354
309	280	0	AMY2B	1	103554644	103579534	1	12	511	0.022785	24891
310	5359	0.848340659266156	PLSCR1	3	146515180	146544841	-1	13	318	0.004172	29662
311	84912	0	SLC35B4	7	134289337	134317075	-1	7	331	0.006179	27739
312	5373	0	PMM2	16	8797813	8849337	1	7	246	0.023309	51525
313	5372	0.0376060319759551	PMM1	22	41576886	41589867	-1	6	262	0.003537	12982
314	4725	1.47246310529393	NDUFS5	1	39026295	39034636	1	14	106	0.077714	8342
315	79873	0	NUDT18	8	22106872	22109419	-1	8	323	0.021293	2548
316	3141	0	HLCS	21	36750888	36990245	-1	8	726	0.009041	239358
317	7439	0	BEST1	11	61949884	61964463	1	7	585	0.006789	14580
318	54831	0	BEST2	19	12751786	12758458	1	6	509	0.031584	6673
319	266675	0	BEST4	1	44782157	44787976	-1	7	473	0.008559	5820
320	144453	0.0376060341136101	BEST3	12	69643508	69699416	-1	8	669	0.011795	55909
321	7802	0.950473111978718	DNALI1	1	37556919	37566857	1	8	280	0.021957	9939
322	6210	0.00119603991346835	RPS15A	16	18782955	18790334	-1	6	130	0.051	7380
323	54539	0	NDUFB11	X	47142216	47145210	-1	8	153	0.00676	2995
324	80152	0	CENPT	16	67828157	67847458	-1	8	561	0.026691	19302
325	4728	0	NDUFS8	11	68030617	68036647	1	8	210	0.025125	6031
326	84501	0	SPIRE2	16	89828475	89871319	1	5	634	0.011983	42845
327	56907	0	SPIRE1	18	12446512	12661489	-1	9	598	0.003854	214978
328	140838	0	NANP	20	25612935	25624012	-1	7	248	0.01645	11078
329	23171	0	GPD1L	3	32106511	32168715	1	6	336	0.019504	62205
330	2819	0.866309320468098	GPD1	12	50103819	50111320	1	7	349	0.003082	7502
331	5723	0	PSPH	7	56010363	56051604	-1	7	225	6e-06	41242
332	635	0	BHMT	5	79111781	79132290	1	7	406	0.007786	20510
333	23743	0	BHMT2	5	79069724	79090074	1	7	363	0.002722	20351
334	66008	0.0376060341136101	TRAK2	2	201377207	201451596	-1	7	914	0.010192	74390
335	10284	0.0823549026550673	SAP18	13	21140514	21149085	1	6	172	0.010606	8572
336	65003	0	MRPL11	11	66435079	66466439	-1	7	192	0.023036	31361
337	57817	0	HAMP	19	35282507	35285143	1	7	84	0.02508	2637
338	4116	0.00119603991346835	MAGOH	1	53226892	53238610	-1	6	146	0.007032	11719
339	80728	0.0376060341136101	ARHGAP39	8	144529179	144613506	-1	8	1114	0.015286	84328
340	7360	0	UGP2	2	63840950	63891562	1	9	504	0.006626	50613
341	25956	0.65841921220238	SEC31B	10	100486646	100519838	-1	8	1179	0.000666	33193
342	22872	0	SEC31A	4	82818661	82891266	-1	7	1220	0.004186	72606
343	286826	0.00211497731510546	LIN9	1	226231149	226310088	-1	6	531	0.005927	78940
344	22916	0	NCBP2	3	196935402	196942593	-1	8	156	0.013009	7192
345	3596	0	IL13	5	132658173	132661109	1	7	146	0.005494	2937
346	80235	0	PIGZ	3	196946343	196968871	-1	6	579	0.038233	22529
347	84296	0.00814453903961127	GINS4	8	41529206	41545046	1	7	223	0.009138	15841
348	1201	0	CLN3	16	28466653	28492302	-1	7	438	0.01307	25650
349	55781	0	RIOK2	5	97160867	97183301	-1	8	552	0.00605	22435
350	2760	0	GM2A	5	151253052	151270394	1	6	193	0.009044	17343
351	51606	0	ATP6V1H	8	53715543	53843311	-1	7	483	0.008709	127769
352	2581	0	GALC	14	87837820	87993665	-1	7	685	0.002124	155846
353	336	1.40491628069947	APOA2	1	161222293	161223628	-1	5	100	0.076151	1336
354	84134	0	TOMM40L	1	161225939	161230746	1	6	308	0.003284	4808
355	10452	0	TOMM40	19	44891220	44903689	1	9	361	0.002752	12470
356	54797	0.00211497731510546	MED18	1	28329002	28335967	1	8	208	0.005254	6966
357	1603	0.00119603991346835	DAD1	14	22564907	22589237	-1	7	113	0.008138	24331
358	55270	0	NUDT15	13	48037567	48047146	1	7	164	0.012214	9580
359	200734	0	SPRED2	2	65307442	65432637	-1	7	418	0.002628	125196
