setID	setName	source	setsize.org
198870	Oxidative phosphorylation	WikiPathways	52
198869	Nucleotide GPCRs	WikiPathways	12
198868	AMPK signaling	WikiPathways	68
198865	Fatty Acid Beta Oxidation	WikiPathways	34
198864	IL-6 Signaling Pathway	WikiPathways	97
198863	Estrogen signaling pathway	WikiPathways	20
198862	TCR Signaling Pathway	WikiPathways	91
198861	Monoamine GPCRs	WikiPathways	33
198860	Electron Transport Chain	WikiPathways	91
198859	Triacylglyceride Synthesis	WikiPathways	24
198858	Nicotine Activity on Dopaminergic Neurons	WikiPathways	21
198857	IL-7 Signaling Pathway	WikiPathways	44
198856	Glycogen Metabolism	WikiPathways	35
198853	Cytoplasmic Ribosomal Proteins	WikiPathways	90
198852	Statin Pathway	WikiPathways	29
198851	Monoamine Transport	WikiPathways	34
198850	Tryptophan metabolism	WikiPathways	45
198849	G Protein Signaling Pathways	WikiPathways	95
198848	Nuclear Receptors	WikiPathways	38
198847	Wnt Signaling Pathway and Pluripotency	WikiPathways	99
198846	Selenium Metabolism and Selenoproteins	WikiPathways	39
198845	Insulin Signaling	WikiPathways	160
198844	ErbB signaling pathway	WikiPathways	55
198843	mRNA processing	WikiPathways	125
198842	Osteoblast Signaling	WikiPathways	14
198840	Blood Clotting Cascade	WikiPathways	24
198839	GPCRs, Class C Metabotropic glutamate, pheromone	WikiPathways	15
198837	metapathway biotransformation	WikiPathways	174
198836	Signaling of Hepatocyte Growth Factor Receptor	WikiPathways	33
198835	Hedgehog Signaling Pathway	WikiPathways	22
198834	MAPK Cascade	WikiPathways	29
198833	Folate Metabolism	WikiPathways	24
198832	Adipogenesis	WikiPathways	132
198827	DNA damage response (only ATM dependent)	WikiPathways	82
198826	Kit Receptor Signaling Pathway	WikiPathways	67
198825	Selenium Pathway	WikiPathways	84
198824	Glutathione metabolism	WikiPathways	21
198823	Complement Activation, Classical Pathway	WikiPathways	17
198822	Apoptosis Modulation and Signaling	WikiPathways	80
198821	Glucuronidation	WikiPathways	26
198819	Signal Transduction of S1P Receptor	WikiPathways	24
198817	Mitochondrial LC-Fatty Acid Beta-Oxidation	WikiPathways	16
198816	Integrin-mediated cell adhesion	WikiPathways	100
198814	Glycolysis and Gluconeogenesis	WikiPathways	49
198813	Diurnally regulated genes with circadian orthologs	WikiPathways	48
198812	Endochondral Ossification	WikiPathways	66
198811	Cell cycle	WikiPathways	88
198810	TGF Beta Signaling Pathway	WikiPathways	54
198809	Cholesterol Biosynthesis	WikiPathways	15
198807	Alpha6-Beta4 Integrin Signaling Pathway	WikiPathways	67
198806	Androgen receptor signaling pathway	WikiPathways	86
198805	G1 to S cell cycle control	WikiPathways	67
198804	Tamoxifen metabolism	WikiPathways	19
198803	Translation Factors	WikiPathways	49
198802	Heart Development	WikiPathways	44
198801	Ovarian Infertility Genes	WikiPathways	30
198800	G13 Signaling Pathway	WikiPathways	39
198799	Wnt Signaling Pathway NetPath	WikiPathways	112
198797	Apoptosis	WikiPathways	83
198795	Focal Adhesion	WikiPathways	185
198794	Cytokines and Inflammatory Response	WikiPathways	25
198793	Biogenic Amine Synthesis	WikiPathways	14
198792	NOD pathway	WikiPathways	39
198791	Type II diabetes mellitus	WikiPathways	21
198790	EBV LMP1 signaling	WikiPathways	22
198789	Wnt Signaling Pathway	WikiPathways	60
198788	DNA damage response	WikiPathways	67
198787	TCA Cycle	WikiPathways	31
198786	Proteasome Degradation	WikiPathways	63
198785	Vitamin A and carotenoid metabolism	WikiPathways	40
198784	MicroRNAs in cardiomyocyte hypertrophy	WikiPathways	85
198783	Alanine and aspartate metabolism	WikiPathways	12
198782	EGFR1 Signaling Pathway	WikiPathways	177
198781	GPCRs, Class B Secretin-like	WikiPathways	23
198780	Senescence and Autophagy	WikiPathways	98
198779	MAPK signaling pathway	WikiPathways	162
198778	Fluoropyrimidine Activity	WikiPathways	33
198777	Keap1-Nrf2 Pathway	WikiPathways	13
198776	Hypothetical Network for Drug Addiction	WikiPathways	32
198774	TGF-beta Receptor Signaling Pathway	WikiPathways	152
198773	cytochrome P450	WikiPathways	61
198772	Angiogenesis	WikiPathways	23
198771	DNA Replication	WikiPathways	41
198770	IL-5 Signaling Pathway	WikiPathways	69
198769	Osteoclast Signaling	WikiPathways	15
198766	Inflammatory Response Pathway	WikiPathways	30
198765	GPCRs, Other	WikiPathways	87
198763	ACE Inhibitor Pathway	WikiPathways	17
198762	TOR signaling	WikiPathways	34
198761	Osteopontin Signaling	WikiPathways	11
198760	IL-4 signaling Pathway	WikiPathways	63
198759	Myometrial Relaxation and Contraction Pathways	WikiPathways	155
198758	Urea cycle and metabolism of amino groups	WikiPathways	20
198757	Mitochondrial Gene Expression	WikiPathways	12
198756	One Carbon Metabolism	WikiPathways	29
194385	Fat digestion and absorption	KEGG	41
194384	African trypanosomiasis	KEGG	34
193328	mRNA surveillance pathway	KEGG	89
193147	Osteoclast differentiation	KEGG	132
193146	Bile secretion	KEGG	71
187229	DSCAM interactions	REACTOME	11
187228	Nephrin interactions	REACTOME	23
187226	N-Glycan antennae elongation	REACTOME	15
187223	N-glycan antennae elongation in the medial/trans-Golgi	REACTOME	20
187220	Transport to the Golgi and subsequent modification	REACTOME	36
187217	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	REACTOME	13
187215	Destabilization of mRNA by KSRP	REACTOME	17
187214	Destabilization of mRNA by Tristetraprolin (TTP)	REACTOME	17
187213	Destabilization of mRNA by Butyrate Response Factor 1 (BRF1)	REACTOME	17
187212	Destabilization of mRNA by AUF1 (hnRNP D0)	REACTOME	54
187211	Regulation of mRNA Stability by Proteins that Bind AU-rich Elements	REACTOME	88
187209	Signal regulatory protein (SIRP) family interactions	REACTOME	13
187205	GP1b-IX-V activation signalling	REACTOME	10
187204	Platelet sensitization by LDL	REACTOME	17
187202	Platelet calcium homeostasis	REACTOME	19
187201	cGMP effects	REACTOME	21
187200	Nitric oxide stimulates guanylate cyclase	REACTOME	27
187199	Prostacyclin signalling through prostacyclin receptor	REACTOME	21
187198	Platelet homeostasis	REACTOME	83
187197	Kinesins	REACTOME	26
187196	Factors involved in megakaryocyte development and platelet production	REACTOME	135
187195	Ligand-gated ion channel transport	REACTOME	25
187194	Ion transport by P-type ATPases	REACTOME	36
187193	Ion channel transport	REACTOME	61
187192	Transferrin endocytosis and recycling	REACTOME	27
187191	Iron uptake and transport	REACTOME	39
187189	Regulation of Water Balance by Renal Aquaporins	REACTOME	45
187188	Passive Transport by Aquaporins	REACTOME	11
187187	Aquaporin-mediated transport	REACTOME	52
187186	Transport of organic anions	REACTOME	11
187183	Inhibition of voltage gated Ca2+ channels via Gbeta/gamma subunits*	REACTOME	27
187180	GABA B receptor activation*	REACTOME	40
187179	GABA A receptor activation	REACTOME	12
187178	GABA receptor activation	REACTOME	55
187174	GABA synthesis, release, reuptake and degradation	REACTOME	19
187173	Circadian Clock	REACTOME	56
187172	Synthesis, Secretion, and Inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	REACTOME	13
187171	Synthesis, Secretion, and Inactivation of Glucagon-like Peptide-1 (GLP-1)	REACTOME	20
187170	Incretin Synthesis, Secretion, and Inactivation	REACTOME	23
187108	Rap1 signalling	REACTOME	16
187107	Regulation of IFNG signaling	REACTOME	14
187106	Interferon gamma signaling	REACTOME	67
187105	Regulation of IFNA signaling	REACTOME	25
187104	Interferon alpha/beta signaling	REACTOME	64
187103	Interferon Signaling	REACTOME	166
187102	Negative regulators of RIG-I/MDA5 signaling	REACTOME	33
187101	TRAF6 mediated NF-kB activation	REACTOME	22
187100	TRAF6 mediated IRF7 activation	REACTOME	30
187099	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	REACTOME	12
187098	TRAF3-dependent IRF activation pathway	REACTOME	14
187097	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	REACTOME	76
187096	Regulation of signaling by CBL	REACTOME	18
187095	Interleukin receptor SHC signaling	REACTOME	27
187094	Interleukin-3, 5 and GM-CSF signaling	REACTOME	44
187092	Advanced glycosylation endproduct receptor signaling	REACTOME	13
187091	TRAF6 mediated induction of TAK1 complex	REACTOME	16
187090	IKK complex recruitment mediated by RIP1	REACTOME	11
187088	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	REACTOME	16
187085	TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	REACTOME	13
187084	IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation*	REACTOME	10
187083	IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation*	REACTOME	12
177876	RNA transport	KEGG	156
173973	Hepatitis C	KEGG	131
172847	Protein digestion and absorption	KEGG	87
172846	Staphylococcus aureus infection	KEGG	53
170720	Carbohydrate digestion and absorption	KEGG	44
169642	Toxoplasmosis	KEGG	116
169356	RhoA signaling pathway	Pathway Interaction Database	41
169355	RAC1 signaling pathway	Pathway Interaction Database	54
169354	Noncanonical Wnt signaling pathway	Pathway Interaction Database	30
169353	Validated targets of C-MYC transcriptional repression	Pathway Interaction Database	61
169352	Regulation of Wnt-mediated beta catenin signaling and target gene transcription	Pathway Interaction Database	78
169351	Validated targets of C-MYC transcriptional activation	Pathway Interaction Database	81
169350	Signaling events mediated by TCPTP	Pathway Interaction Database	36
169349	Validated transcriptional targets of AP1 family members Fra1 and Fra2	Pathway Interaction Database	34
169348	Signaling events mediated by focal adhesion kinase	Pathway Interaction Database	54
169347	Notch-mediated HES/HEY network	Pathway Interaction Database	48
169346	Regulation of RAC1 activity	Pathway Interaction Database	39
169345	Notch signaling pathway	Pathway Interaction Database	58
169344	C-MYC pathway	Pathway Interaction Database	22
169306	Pancreatic secretion	KEGG	95
167325	Protein processing in endoplasmic reticulum	KEGG	167
167324	Amoebiasis	KEGG	108
161075	Transport of vitamins, nucleosides, and related molecules	REACTOME	31
161072	Organic cation/anion/zwitterion transport	REACTOME	13
161070	Na+/Cl- dependent neurotransmitter transporters	REACTOME	18
161067	Zinc transporters	REACTOME	17
161066	Metal ion SLC transporters	REACTOME	25
161063	Thrombin signalling through proteinase activated receptors (PARs)	REACTOME	34
161062	Thromboxane signalling through TP receptor	REACTOME	25
161061	ADP signalling through P2Y purinoceptor 1	REACTOME	27
161060	ADP signalling through P2Y purinoceptor 12	REACTOME	23
161059	Signal amplification	REACTOME	33
161057	Synthesis and interconversion of nucleotide di- and triphosphates	REACTOME	19
161051	HIV-1 elongation arrest and recovery*	REACTOME	31
161049	Nucleosome assembly*	REACTOME	63
161048	Chromosome Maintenance	REACTOME	122
161047	Presynaptic function of Kainate receptors	REACTOME	23
161044	Ionotropic activity of Kainate Receptors*	REACTOME	12
161043	Activation of Kainate Receptors upon glutamate binding	REACTOME	34
161040	CREB phosphorylation through the activation of CaMKII	REACTOME	17
161037	Ras activation uopn Ca2+ infux through NMDA receptor	REACTOME	19
161036	CREB phosphorylation through the activation of Ras	REACTOME	29
161035	Post NMDA receptor activation events	REACTOME	35
161034	Unblocking of NMDA receptor, glutamate binding and activation	REACTOME	17
161033	Activation of NMDA receptor upon glutamate binding and postsynaptic events	REACTOME	39
161032	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	REACTOME	12
161028	Presynaptic nicotinic acetylcholine receptors	REACTOME	12
161025	Smooth Muscle Contraction	REACTOME	24
161020	GPCR ligand binding	REACTOME	409
161015	Synthesis of substrates in N-glycan biosythesis	REACTOME	16
161014	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	REACTOME	30
161013	Asparagine N-linked glycosylation	REACTOME	85
161012	Post-translational protein modification	REACTOME	193
161006	Signal transduction by L1	REACTOME	36
161005	Interaction between L1 and Ankyrins	REACTOME	26
161004	Recycling pathway of L1	REACTOME	28
161003	L1CAM interactions	REACTOME	94
161002	Role of second messengers in netrin-1 signaling	REACTOME	10
161001	Netrin mediated repulsion signals	REACTOME	10
161000	DCC mediated attractive signaling	REACTOME	14
160999	Netrin-1 signaling	REACTOME	42
160997	Myogenesis*	REACTOME	30
160996	mRNA Decay by 5' to 3' Exoribonuclease	REACTOME	15
160994	Deadenylation of mRNA	REACTOME	23
160993	Deadenylation-dependent mRNA decay	REACTOME	49
160983	Amine-derived hormones	REACTOME	15
160978	Synthesis of very long-chain fatty acyl-CoAs	REACTOME	14
160977	Fatty acid, triacylglycerol, and ketone body metabolism	REACTOME	183
160976	Metabolism of lipids and lipoproteins	REACTOME	529
160975	Signal attenuation	REACTOME	14
160973	Regulation of AMPK activity via LKB1	REACTOME	14
160972	Energy dependent regulation of mTOR by LKB1-AMPK	REACTOME	17
160971	Heme degradation	REACTOME	13
160967	Cell-extracellular matrix interactions	REACTOME	16
160966	Cell junction organization	REACTOME	84
160962	Respiratory electron transport	REACTOME	66
160960	SHC-mediated cascade	REACTOME	29
160959	Phospholipase C-mediated cascade	REACTOME	56
160958	FRS2-mediated cascade	REACTOME	38
160957	Downstream signaling of activated FGFR	REACTOME	143
160954	Processing of Intronless Pre-mRNAs	REACTOME	14
160953	SLBP independent Processing of Histone Pre-mRNAs	REACTOME	10
160952	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	REACTOME	11
160951	Processing of Capped Intronless Pre-mRNA	REACTOME	23
160950	Processing of Capped Intron-Containing Pre-mRNA	REACTOME	138
160948	RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription	REACTOME	126
160943	Mitotic M-M/G1 phases	REACTOME	191
160942	Mitotic G2-G2/M phases*	REACTOME	87
160941	Mitotic G1-G1/S phases	REACTOME	133
160141	Interleukin-1 signaling	REACTOME	42
160140	Signaling by Interleukins	REACTOME	111
160139	Activation of the AP-1 family of transcription factors	REACTOME	10
160138	MAPK targets/ Nuclear events mediated by MAP kinases	REACTOME	30
160137	activated TAK1 mediates p38 MAPK activation	REACTOME	17
160136	JNK (c-Jun kinases) phosphorylation and activation mediated by activated human TAK1	REACTOME	16
160135	MAP kinase activation in TLR cascade	REACTOME	49
160134	TAK1 activates NFkB by phosphorylation and activation of IKKs complex	REACTOME	24
154409	Gastric acid secretion	KEGG	75
153910	Phagosome	KEGG	148
153376	Salivary secretion	KEGG	89
152665	Malaria	KEGG	49
149807	Bacterial invasion of epithelial cells	KEGG	70
149806	Phototransduction	KEGG	29
147809	Chagas disease (American trypanosomiasis)	KEGG	104
147586	Collecting duct acid secretion	KEGG	27
144182	Proximal tubule bicarbonate reclamation	KEGG	23
144181	Leishmaniasis	KEGG	70
143700	Vasopressin-regulated water reabsorption	KEGG	45
142463	TCA cycle II (eukaryotic)	BIOCYC	21
142455	glycolysis I	BIOCYC	19
142437	nicotine degradation IV	BIOCYC	12
142435	glutathione-mediated detoxification I	BIOCYC	22
142421	fatty acid beta-oxidation I	BIOCYC	16
142419	phospholipases	BIOCYC	34
142418	triacylglycerol degradation	BIOCYC	11
142387	valine degradation I	BIOCYC	14
142385	tryptophan degradation III (eukaryotic)	BIOCYC	11
142373	superpathway of methionine degradation	BIOCYC	21
142358	isoleucine degradation I	BIOCYC	14
142285	pyrimidine deoxyribonucleotides de novo biosynthesis I	BIOCYC	15
142284	salvage pathways of pyrimidine ribonucleotides	BIOCYC	14
142283	pyrimidine ribonucleotides de novo biosynthesis	BIOCYC	15
142282	pyrimidine ribonucleotides interconversion	BIOCYC	13
142269	superpathway of cholesterol biosynthesis	BIOCYC	27
142266	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)*	BIOCYC	13
142264	phosphatidylglycerol biosynthesis II (non-plastidic)	BIOCYC	18
142255	CDP-diacylglycerol biosynthesis I	BIOCYC	17
142242	triacylglycerol biosynthesis	BIOCYC	25
142215	NAD biosynthesis II (from tryptophan)	BIOCYC	10
142207	mevalonate pathway I	BIOCYC	12
142180	gluconeogenesis I	BIOCYC	19
138085	Coregulation of Androgen receptor activity	Pathway Interaction Database	57
138081	FAS (CD95) signaling pathway	Pathway Interaction Database	35
138080	Aurora B signaling	Pathway Interaction Database	39
138078	p38 signaling mediated by MAPKAP kinases	Pathway Interaction Database	20
138076	Cellular roles of Anthrax toxin	Pathway Interaction Database	22
138074	Visual signal transduction: Rods	Pathway Interaction Database	23
138073	C-MYB transcription factor network	Pathway Interaction Database	78
138072	Nephrin/Neph1 signaling in the kidney podocyte	Pathway Interaction Database	26
138071	PDGFR-beta signaling pathway	Pathway Interaction Database	54
138070	Regulation of RhoA activity	Pathway Interaction Database	46
138069	S1P4 pathway	Pathway Interaction Database	14
138068	Signaling events mediated by Stem cell factor receptor (c-Kit)	Pathway Interaction Database	52
138067	p53 pathway	Pathway Interaction Database	58
138066	JNK signaling in the CD4+ TCR pathway	Pathway Interaction Database	13
138064	Syndecan-4-mediated signaling events	Pathway Interaction Database	31
138063	S1P3 pathway	Pathway Interaction Database	28
138062	Signaling events mediated by HDAC Class II	Pathway Interaction Database	34
138061	CD40/CD40L signaling	Pathway Interaction Database	30
138060	Thromboxane A2 receptor signaling	Pathway Interaction Database	45
138059	S1P2 pathway	Pathway Interaction Database	24
138058	BCR signaling pathway	Pathway Interaction Database	66
138057	ErbB1 downstream signaling	Pathway Interaction Database	102
138056	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha	Pathway Interaction Database	15
138055	TCR signaling in naive CD8+ T cells	Pathway Interaction Database	49
138054	Nectin adhesion pathway	Pathway Interaction Database	25
138053	TNF receptor signaling pathway	Pathway Interaction Database	44
138052	Ephrin B reverse signaling	Pathway Interaction Database	27
138051	EPO signaling pathway	Pathway Interaction Database	33
138050	Fc-epsilon receptor I signaling in mast cells	Pathway Interaction Database	58
138049	PDGFR-alpha signaling pathway	Pathway Interaction Database	22
138048	Nongenotropic Androgen signaling	Pathway Interaction Database	18
138047	EPHB forward signaling	Pathway Interaction Database	33
138046	Syndecan-1-mediated signaling events	Pathway Interaction Database	17
138045	HIF-1-alpha transcription factor network	Pathway Interaction Database	65
138044	Trk receptor signaling mediated by the MAPK pathway	Pathway Interaction Database	29
138041	EPHA forward signaling	Pathway Interaction Database	31
138040	IFN-gamma pathway	Pathway Interaction Database	40
138039	Retinoic acid receptors-mediated signaling	Pathway Interaction Database	25
138038	Arf6 downstream pathway	Pathway Interaction Database	15
138036	FoxO family signaling	Pathway Interaction Database	47
138034	Arf6 signaling events	Pathway Interaction Database	34
138032	Canonical Wnt signaling pathway	Pathway Interaction Database	30
138031	Syndecan-2-mediated signaling events	Pathway Interaction Database	33
138030	Canonical NF-kappaB pathway	Pathway Interaction Database	23
138029	Sumoylation by RanBP2 regulates transcriptional repression	Pathway Interaction Database	11
138027	Regulation of Androgen receptor activity	Pathway Interaction Database	49
138026	Insulin Pathway	Pathway Interaction Database	43
138024	TGF-beta receptor signaling	Pathway Interaction Database	51
138023	Ceramide signaling pathway	Pathway Interaction Database	44
138022	Class I PI3K signaling events	Pathway Interaction Database	41
138021	Paxillin-dependent events mediated by a4b1	Pathway Interaction Database	19
138020	Class I PI3K signaling events mediated by Akt	Pathway Interaction Database	34
138019	p75(NTR)-mediated signaling	Pathway Interaction Database	61
138018	Downstream signaling in naive CD8+ T cells	Pathway Interaction Database	50
138017	Signaling events mediated by PTP1B	Pathway Interaction Database	51
138016	ErbB receptor signaling network	Pathway Interaction Database	14
138015	Regulation of cytoplasmic and nuclear SMAD2/3 signaling	Pathway Interaction Database	19
138014	Glucocorticoid receptor regulatory network	Pathway Interaction Database	82
138013	Internalization of ErbB1	Pathway Interaction Database	34
138012	Signaling mediated by p38-alpha and p38-beta	Pathway Interaction Database	35
138011	CXCR3-mediated signaling events	Pathway Interaction Database	34
138010	Glypican 1 network	Pathway Interaction Database	26
138009	Plasma membrane estrogen receptor signaling	Pathway Interaction Database	26
138008	a6b1 and a6b4 Integrin signaling	Pathway Interaction Database	31
138007	PLK1 signaling events	Pathway Interaction Database	44
138006	ATF-2 transcription factor network	Pathway Interaction Database	55
138005	E-cadherin signaling in the nascent adherens junction	Pathway Interaction Database	33
138002	E-cadherin signaling in keratinocytes	Pathway Interaction Database	19
