objID	objStat	objName	SNPcount	chr	startpos	endpos	strand
100129094	0.09915	BTNL10	11	1	228696347	228699989	-1
100129098	0.10738	LOC100129098	17	8	55378154	55382986	-1
100129125	0.08485	LOC100129125	1	17	19562964	19563826	1
100129126	0.22388	LOC100129126	19	7	63411914	63441761	-1
100129128	0.0886	KHDC1L	3	6	73933267	73935175	-1
100129171	0.12971	LOC100129171	14	2	224562814	224563281	-1
100129216	0.09646	LOC100129216	6	11	71589499	71595607	1
100129239	0.921856	CXorf51A	19	X	145895622	145896249	-1
100129271	0.12374	C1orf68	10	1	152691998	152692905	1
100129278	0.1574	TDRD15	14	2	21346484	21366144	1
100129280	0.12237	LOC100129280	9	7	97646471	97647823	1
100129292	0.14082	LOC100129292	9	20	42527513	42528468	1
100129307	0.10856	LOC100129307	7	13	78235511	78236825	-1
100129322	0.11252	LOC100129322	32	6	11459202	11459636	-1
100129385	0.38444	C9orf92	103	9	16193933	16266305	-1
100129393	0.11167	LOC100129393	12	15	38311672	38312097	1
100129397	0.13806	LOC100129397	27	15	46557037	46557453	-1
100129406	0.13448	LOC100129406	44	1	112740447	112740848	1
100129408	0.10495	LOC100129408	17	18	53475558	53476272	1
100129480	0.09831	LOC100129480	6	3	12581280	12586963	-1
100129520	0.155	LOC100129520	17	X	124453969	124456950	1
100129528	0.1089	MUC8	10	12	133049334	133050840	-1
100129543	0.12356	ZNF730	15	19	23299777	23329658	1
100129583	0.19413	FAM47E	34	4	77135193	77204936	1
100129636	0.10497	LOC100129636	9	6	29004000	29044517	1
100129654	0.13825	TCF24	1	8	67858736	67874825	-1
100129669	0.1489	IZUMO3	12	9	24543213	24545668	-1
100129721	0.13696	LOC100129721	6	10	61138544	61139334	-1
100129785	0.11098	LOC100129785	2	9	131920872	131921691	1
100129792	0.21987	CCDC152	8	5	42756920	42802539	1
100129842	0.43406	ZNF737	16	19	20720798	20748626	-1
100129846	0.08191	LOC100129846	1	8	30545233	30547826	1
100129852	0.09265	LOC100129852	4	6	105384169	105401270	-1
100129924	0.12726	LOC100129924	5	1	43253661	43263901	1
100129974	0.09859	LOC100129974	1	17	387874	388251	-1
10013	0.08392	HDAC6	1	X	48660487	48683380	1
100130057	0.17629	LOC100130057	39	16	49146773	49147605	1
100130078	0.11636	LOC100130078	13	17	76667337	76667714	1
100130097	0.14549	LOC100130097	16	1	246935180	246948062	-1
100130101	0.13126	LOC100130101	14	8	97417524	97418748	1
100130152	0.08503	LOC100130152	2	20	61494367	61497805	-1
100130274	0.07813	CCDC166	1	8	144788864	144790279	-1
100130301	0.15272	LOC100130301	24	8	74153659	74171737	-1
100130302	0.13819	SUPT20HL1	13	X	24380878	24383541	1
100130345	0.33755	LOC100130345	13	3	63738271	63798811	-1
100130348	0.10724	LOC100130348	3	11	64855844	64856542	-1
100130357	0.09457	LOC100130357	13	6	13279527	13295818	-1
100130370	0.09165	LOC100130370	2	17	79352934	79357447	-1
100130372	0.31411	LOC100130372	13	20	46126687	46127154	1
100130433	0.33182	LOC100130433	45	9	87990841	87991566	1
100130451	0.13804	LOC100130451	4	2	214141277	214148929	-1
100130463	0.08616	LOC100130463	2	13	114075870	114076649	1
100130480	0.12875	LOC100130480	58	18	6511415	6590652	1
100130519	0.08647	TMEM221	3	19	17546318	17559376	-1
100130520	0.115	LOC100130520	4	17	72556310	72563482	-1
100130539	0.1125	LOC100130539	34	10	44788198	44790097	1
100130542	0.325	LOC100130542	39	14	69208613	69209297	1
100130613	0.12254	CXorf64	25	X	125953747	125955769	1
100130657	0.08457	LOC100130657	1	17	63677569	63677958	-1
100130701	0.11355	LOC100130701	11	3	120076665	120106964	1
100130705	0.0833700000000001	LOC100130705	3	7	128506464	128512101	1
100130742	0.09666	LRRC69	21	8	92114847	92231464	1
100130778	0.09258	LOC100130778	1	12	130074252	130075239	-1
100130817	0.10975	LOC100130817	1	16	55734034	55735390	-1
100130827	0.08684	SGK110	3	19	56052023	56056909	-1
100130863	0.14835	ZNF840	25	20	45092309	45121279	1
100130890	0.09784	TSTD3	3	6	99968870	99981061	1
100130921	0.12437	LOC100130921	4	2	42721709	42722527	1
100130958	0.13955	SYCE1L	24	16	77233349	77246976	1
100130967	0.11461	C6orf99	15	6	159309619	159331385	1
100130976	0.26921	LOC100130976	33	15	94632284	94632664	-1
100130988	0.11196	C7orf72	40	7	50135682	50198852	1
100131000	0.0784	LOC100131000	1	17	74351729	74352966	1
100131004	0.12225	LOC100131004	9	17	60217436	60218137	-1
100131032	0.1546	LOC100131032	38	1	208697157	208697934	1
100131034	0.07745	LOC100131034	1	14	103893175	103896272	-1
100131099	0.08558	LOC100131099	2	20	60411356	60411787	-1
100131107	0.19401	LOC100131107	2	1	152052033	152053370	-1
100131137	0.10291	BSPH1	13	19	48471303	48495427	-1
100131150	0.08445	LOC100131150	1	11	66764061	66764783	1
100131187	0.0851	TSTD1	1	1	161007421	161008774	-1
100131190	0.0815900000000001	LOC100131190	1	21	41657429	41657848	1
100131195	0.1125	LOC100131195	17	10	43486731	43487111	-1
100131211	0.10358	TMEM194B	12	2	191371619	191399468	-1
100131244	0.10631	ANKRD63	1	15	40573645	40574787	-1
100131310	0.16319	LOC100131310	39	X	39562417	39610121	1
100131378	0.12647	C11orf91	8	11	33719654	33722286	-1
100131381	0.12647	LOC100131381	13	11	43600529	43606151	1
100131390	0.0955	SP9	3	2	175199821	175202268	1
100131439	0.11096	CD300LD	3	17	72576111	72588370	-1
100131539	0.23527	ZNF705E	3	11	71527558	71532522	-1
100131581	0.0778	LOC100131581	2	8	12480186	12481558	1
100131654	0.39488	LOC100131654	28	15	87736900	87737541	1
100131719	0.14139	LOC100131719	17	10	124939910	124940323	1
100131755	0.3926	ARMCX4	15	X	100673251	100790975	1
100131827	0.14946	ZNF717	5	3	75786029	75834255	-1
100131829	0.38929	LOC100131829	14	4	102446155	102447501	-1
100131860	0.09568	LOC100131860	2	15	81444997	81445900	-1
100131894	0.12801	LOC100131894	9	12	131360918	131361883	-1
100131897	0.19763	FAM196B	54	5	169290719	169407744	-1
100131902	0.11541	KRTAP25-1	4	21	31661463	31661832	-1
100131907	0.09261	LOC100131907	3	19	377284	378112	-1
100132074	0.25442	FOXO6	38	1	41827227	41848353	1
100132146	0.14946	LOC100132146	19	3	46653925	46668033	1
100132154	0.088	LOC100132154	1	9	69896513	69901469	-1
100132174	0.14232	LOC100132174	37	17	75719694	75720167	-1
100132197	0.08357	LOC100132197	1	17	20391097	20391666	1
100132339	0.13609	LOC100132339	13	16	54971698	54973796	-1
100132386	0.07863	KRTAP4-9	1	17	39261641	39262740	1
100132396	0.38358	ZNF705B	1	8	7783859	7809935	1
100132403	0.09514	FAM157B	3	9	141106637	141134172	1
100132406	0.09094	NBPF10	1	1	145293371	145368684	1
100132463	0.12127	CLDN24	13	4	184242917	184243579	-1
100132474	0.18067	LOC100132474	6	19	9812452	9813718	1
100132476	0.08688	KRTAP4-7	10	17	39240459	39241396	1
100132731	0.11025	LOC100132731	9	3	128629034	128684488	-1
100132800	0.10068	LOC100132800	15	19	56785886	56786421	1
100132858	0.25962	LOC100132858	17	7	19828	36378	-1
100132916	0.55291	FAM159B	11	5	63986135	64014017	1
100132963	0.17245	SMIM9	1	X	154051623	154062937	-1
100132994	0.10238	CXorf49B	2	X	70983140	70987051	1
100133053	0.09665	CXorf51B	8	X	145891302	145891929	1
100133128	0.09337	LOC100133128	8	4	9400930	9405291	1
100133145	0.0795400000000001	LOC100133145	1	17	74900889	74901646	-1
100133171	0.16319	SPANXB2	10	X	140084756	140085871	1
100133220	0.10849	GOLGA6L3	6	15	85783641	85790401	1
100137047	0.08829	JMJD7	4	15	42120283	42129785	1
10014	0.14808	HDAC5	7	17	42154121	42201014	-1
100141515	0.14638	C17orf99	3	17	76142434	76162364	1
100144595	0.12828	LOC100144595	39	2	155292365	155313950	-1
100144748	0.11699	KLLN	6	10	89618918	89623194	-1
10015	0.12313	PDCD6IP	23	3	33840063	33911199	1
10016	0.14249	PDCD6	4	5	271736	315089	1
100169851	0.08121	PATE3	2	11	125658006	125661495	1
10017	0.12475	BCL2L10	5	15	52401822	52404972	-1
100170765	0.10214	C19orf69	7	19	41949063	41950670	1
100170841	0.09793	C17orf96	4	17	36827956	36831187	-1
10018	0.71867	BCL2L11	23	2	111878491	111926022	1
100188893	0.10417	TOMM6	1	6	41755181	41757634	1
10019	0.83012	SH2B3	8	12	111843752	111889427	1
100190949	0.12903	C5orf52	7	5	157098561	157107162	1
100191040	0.11885	C2CD4D	2	1	151810339	151813033	-1
1002	0.45086	CDH4	249	20	59827482	60515673	1
10020	0.09514	GNE	10	9	36214438	36277053	-1
10021	0.31689	HCN4	12	15	73612200	73661605	-1
10022	0.08692	INSL5	3	1	67263424	67266942	-1
10023	0.39598	FRAT1	2	10	99079022	99081672	1
10024	0.10031	TROAP	1	12	49716971	49725514	1
10025	0.08684	MED16	1	19	867962	893218	-1
10026	0.1708	PIGK	22	1	77554666	77685132	-1
100271715	0.12057	ARHGEF33	17	2	39146504	39202590	1
100271846	0.31527	ERVV-2	4	19	53547991	53554380	1
100271849	0.2304	MEF2B	6	19	19256376	19281098	-1
100286906	0.1236	LOC100286906	26	7	155174771	155188078	1
100287171	0.09685	WASH1	2	9	14511	29739	-1
100287226	0.12733	ZNF729	22	19	22469252	22499978	1
100287284	0.09307	MANSC4	3	12	27915599	27924209	-1
100287290	0.09692	LOC100287290	5	3	158458206	158461381	1
100287313	0.13825	LOC100287313	20	8	52811842	52859733	1
100287362	0.09448	PRSS46	3	3	46761073	46777921	-1
100287387	0.09677	LOC100287387	14	2	239755218	239756320	-1
100287477	0.10214	LOC100287477	3	19	50561973	50563754	-1
100287482	0.08984	SMKR1	9	7	129142320	129152773	1
100287633	0.16293	LOC100287633	5	7	57710228	57712559	1
100287651	0.13293	LOC100287651	45	8	55646344	55782502	1
100287718	0.13692	ANKRD66	8	6	46714654	46726955	1
100287898	0.10118	TTC34	8	1	2572807	2706230	-1
100288072	0.08863	SDR42E2	3	16	22176904	22201714	1
100288287	0.11027	KRTAP22-2	2	21	31962424	31962716	-1
100288323	0.10931	KRTAP21-3	15	21	32090843	32091095	-1
100288336	0.37478	LOC100288336	7	21	44561072	44582387	-1
100288413	0.1227	ERVMER34-1	13	4	53609684	53617807	-1
100288485	0.13696	MTRNR2L7	19	10	37890366	37891859	-1
100288568	0.09276	LOC100288568	1	14	106842205	106902371	1
100288675	0.10359	LOC100288675	4	X	131334297	131339909	1
100288695	0.08623	LIMS3L	1	2	111203460	111230652	-1
100288797	0.09091	TMEM239	2	20	2796976	2797804	1
100288814	0.09419	LOC100288814	5	X	9935398	9936042	1
100288831	0.10438	SRGAP3-AS3	1	3	9258579	9260213	1
100288908	0.09477	LOC100288908	3	11	5275316	5276394	1
100289009	0.1012	LOC100289009	5	11	32112581	32122062	-1
100289058	0.13457	LOC100289058	19	13	41110607	41120625	-1
100289151	0.14856	DCLRE1CP1	6	10	15057357	15077424	-1
100289187	0.0796	LOC100289187	1	7	99195902	99208456	1
100289269	0.71654	LOC100289269	19	19	24180452	24231065	1
100289375	0.16302	LOC100289375	5	20	25845707	25850513	1
100289561	0.08048	LOC100289561	3	7	102004308	102021080	1
100289635	0.46018	ZNF605	5	12	133498019	133532892	-1
100289678	0.11657	ZNF783	12	7	148959262	148982085	1
100293516	0.32347	ZNF587B	4	19	58341662	58357606	1
1003	0.14431	CDH5	23	16	66400525	66438689	1
100302652	0.14186	GPR75-ASB3	42	2	53897430	54087170	-1
100302736	0.32299	TMED7-TICAM2	24	5	114914339	114961876	-1
100303755	0.12264	PET117	9	20	18118499	18123813	1
10036	0.10646	CHAF1A	5	19	4402660	4443394	1
10038	0.30235	PARP2	11	14	20811773	20826063	1
100381270	0.08172	ZBED6	1	1	203766651	203769590	1
10039	0.08371	PARP3	1	3	51976361	51982883	1
1004	0.22734	CDH6	87	5	31193762	31329253	1
10040	0.19458	TOM1L1	52	17	52978052	53039328	1
10042	0.14271	HMGXB4	15	22	35653445	35691800	1
10043	0.14752	TOM1	13	22	35695268	35743987	1
100431172	0.13436	KLRF2	13	12	10034088	10048432	1
10044	0.09685	SH2D3C	3	9	130500596	130541048	-1
10045	0.09418	SH2D3A	4	19	6752171	6767523	-1
10046	0.21876	MAMLD1	48	X	149531551	149682448	1
100462977	0.09989	MTRNR2L1	5	17	22022437	22023991	1
100463285	0.08419	MTRNR2L4	2	16	3421053	3422283	-1
100463289	0.09607	MTRNR2L5	17	10	57358750	57360488	1
100463482	0.0796	MTRNR2L6	1	7	142374131	142375525	1
100463488	0.11316	MTRNR2L10	5	X	55207824	55208944	-1
10047	0.12123	CST8	19	20	23471766	23476655	1
10048	0.10764	RANBP9	23	6	13621730	13711796	-1
10049	0.13611	DNAJB6	46	7	157129710	157210133	1
100499483	0.12517	C9orf174	44	9	100069910	100139577	1
1005	0.14593	CDH7	41	18	63417488	63548175	1
10050	0.15248	SLC17A4	13	6	25754927	25781403	1
100500938	0.2078	CCDC179	16	11	22868468	22881972	-1
100505385	0.18938	IQCJ-SCHIP1	187	3	158787041	159615155	1
100505478	0.20938	LOC100505478	30	9	117428714	117444369	-1
100505549	0.21119	LOC100505549	10	18	55297534	55336508	1
100505591	0.12866	LRRC3C	4	17	38097727	38100987	1
100505679	0.10942	LOC100505679	4	15	84841242	84850985	1
100505724	0.10998	KRTAP9-7	8	17	39431950	39432459	1
100505741	0.11551	SPATA1	6	1	84971902	85018807	1
100505753	0.82176	KRTAP16-1	5	17	39463952	39465505	-1
100505767	0.08863	LOC100505767	1	7	76682095	76689829	-1
100505781	0.08491	LOC100505781	1	9	44890666	44991061	-1
100505798	0.07939	LOC100505798	3	5	139949633	139971677	-1
100505836	0.15718	LOC100505836	213	3	21919336	22414273	-1
100505841	0.13147	LOC100505841	11	5	121495871	121518358	1
100506012	0.59507	PPP5D1	14	19	46984045	47104457	-1
100506049	0.15352	LRRC72	40	7	16566505	16621114	1
100506127	0.0885	LOC100506127	11	11	76092337	76119176	1
100506144	0.08566	ZMYM6NB	3	1	35447127	35450948	-1
100506243	0.10039	KRBOX1	5	3	42977834	42984284	1
100506248	0.08833	LOC100506248	1	12	12264097	12264453	1
100506310	0.1901	LOC100506310	3	1	11832185	11849642	1
100506388	0.15725	LOC100506388	1	17	180996	183279	1
100506422	0.14706	LOC100506422	40	9	26066673	26118406	1
100506514	0.11152	LOC100506514	2	4	57276808	57285944	1
100506545	0.29486	LOC100506545	11	X	103159239	103159640	-1
100506564	0.17838	THEGL	19	4	57396775	57469489	1
100506581	0.16177	C16orf95	28	16	87336404	87351026	-1
100506627	0.25543	DCDC5	36	11	30885150	31014233	-1
100506635	0.0938	LOC100506635	1	1	3591416	3591970	-1
100506650	0.11401	C17orf112	26	17	51062880	51065012	1
100506658	0.09417	OCLN	1	5	68788119	68853931	1
100506667	0.21789	LOC100506667	41	9	98532606	98534956	1
100506688	0.14456	LOC100506688	7	5	988425	997455	-1
100506736	0.11096	SLFN12L	10	17	33801942	33814758	-1
100506742	0.42905	CASP12	20	11	104756445	104769397	-1
100506745	0.26475	LOC100506745	6	X	73280376	73286133	1
100506870	0.19738	LOC100506870	6	11	112155656	112162502	1
100506971	0.10753	LOC100506971	31	13	19526592	19551111	-1
100506972	0.09693	LOC100506972	2	14	95926709	95930550	-1
100507050	0.11608	TPBGL	2	11	74951950	74954749	1
100507055	0.07866	LRCOL1	1	12	133179736	133187037	-1
100507096	0.22369	GIMD1	21	4	107279340	107288592	-1
100507172	0.48599	LOC100507172	12	6	71122531	71127350	-1
100507203	0.18609	SMLR1	24	6	131148545	131158275	1
100507341	0.08663	SMIM18	1	8	30496117	30503473	1
100507369	0.09111	LOC100507369	1	7	56445530	56446754	-1
100507421	0.19115	TMEM178B	122	7	140774032	141180180	1
100507436	0.22147	MICA	32	6	31367561	31383090	1
100507462	0.16794	LOC100507462	26	6	139046348	139094816	-1
100507483	0.10858	LOC100507483	13	19	16130552	16131094	1
100507527	0.1678	THEG5	4	19	32083187	32083945	1
100507650	0.10623	C14orf164	7	14	23707127	23739568	1
100507656	0.10206	LOC100507656	1	17	40191723	40195394	-1
100507679	0.53476	MUC22	49	6	30973729	31003179	1
100508736	0.44246	LOC100508736	34	11	31027307	31263299	-1
100509247	0.18364	LOC100509247	7	7	57882126	57882506	-1
10051	0.11926	SMC4	2	3	160117430	160152741	1
10052	0.08457	GJC1	1	17	42875816	42908179	-1
100526664	0.16097	LY75-CD302	48	2	160625139	160761267	-1
100526693	0.11803	ARPC4-TTLL3	10	3	9834232	9878040	1
100526694	0.0916400000000001	MSANTD3-TMEFF1	17	9	103204188	103339918	1
100526737	0.09646	RBM14-RBM4	4	11	66384053	66413944	1
100526739	0.09654	APITD1-CORT	2	1	10490159	10512060	1
100526740	0.08048	ATP5J2-PTCD1	1	7	99014362	99063824	-1
100526761	0.12665	CCDC169-SOHLH2	35	13	36742345	36871992	-1
100526767	0.13804	RNF103-CHMP3	20	2	86730553	86948245	-1
100526772	0.10737	TMEM110-MUSTN1	9	3	52867131	52931597	-1
100526773	0.09288	EPPIN-WFDC6	12	20	44164919	44176065	-1
100526783	0.18871	C15orf38-AP3S2	25	15	90373831	90456222	-1
100526794	0.13266	NT5C1B-RDH14	15	2	18735989	18770846	-1
100526832	0.12828	PHOSPHO2-KLHL23	22	2	170550964	170608396	1
100526835	0.23994	FPGT-TNNI3K	66	1	74663896	75010116	1
100526842	0.09259	RPL17-C18orf32	10	18	47007548	47018935	-1
100527943	0.07839	TGIF2-C20orf24	2	20	35202957	35240960	1
100527949	0.12121	GIMAP1-GIMAP5	17	7	150413645	150440737	1
100527963	0.07851	PMF1-BGLAP	2	1	156182779	156213123	1
100527978	0.13784	TMEM56-RWDD3	21	1	95583479	95710511	1
100528017	0.22134	SAA2-SAA4	11	11	18252902	18270221	-1
100528021	0.18212	ST20-MTHFS	14	15	80135889	80215448	-1
100528032	0.15435	KLRC4-KLRK1	16	12	10524952	10562745	-1
100528062	0.10177	ARMCX5-GPRASP2	2	X	101854276	101972661	1
100528064	0.07968	NEDD8-MDP1	1	14	24683143	24701576	-1
100529063	0.08577	BCL2L2-PABPN1	1	14	23775971	23795394	1
100529097	0.0863	RPL36A-HNRNPH2	1	X	100645878	100669128	1
100529144	0.11272	CORO7-PAM16	10	16	4390252	4466962	-1
100529215	0.13012	ZNF559-ZNF177	11	19	9434902	9493293	1
100529239	0.59565	RPS10-NUDT3	16	6	34254971	34393902	-1
100529240	0.17352	ZNF816-ZNF321P	12	19	53430388	53466164	-1
100529241	0.14314	HSPE1-MOB4	3	2	198364721	198418423	1
100529251	0.11061	CKLF-CMTM1	10	16	66586466	66613038	1
100529257	0.15267	SYNJ2BP-COX16	13	14	70791798	70883807	-1
100529261	0.10722	CHURC1-FNTB	29	14	65381079	65529373	1
100532726	0.13304	NDUFC2-KCTD14	24	11	77726761	77791265	-1
100532736	0.14901	C1orf151-NBL1	9	1	19923471	19984949	1
100533105	0.19702	C8orf44-SGK3	7	8	67579787	67774257	1
100533106	0.09015	ZHX1-C8ORF76	2	8	124238429	124286727	-1
100533181	0.13184	FXYD6-FXYD2	17	11	117690790	117747746	-1
100533183	0.1914	ZNF664-FAM101A	108	12	124457762	124800570	1
100533467	0.17047	BIVM-ERCC5	46	13	103459496	103528351	1
100533496	0.14398	TVP23C-CDRT4	32	17	15339332	15466945	-1
100533952	0.10688	RBAK-LOC389458	7	7	5085452	5112854	1
100533997	0.09851	MAGEA10-MAGEA5	4	X	151282521	151307050	-1
100534592	0.09533	URGCP-MRPS24	12	7	43906157	43946231	-1
100534599	0.11145	ISY1-RAB43	6	3	128806412	128880073	-1
10054	0.35822	UBA2	6	19	34919268	34960798	1
10055	0.08785	SAE1	7	19	47634080	47713893	1
10056	0.11343	FARSB	18	2	223436162	223520827	-1
10057	0.78136	ABCC5	25	3	183637722	183735727	-1
10059	0.29265	DNM1L	4	12	32832137	32898584	1
1006	0.44819	CDH8	79	16	61685915	62070739	-1
10060	0.18509	ABCC9	38	12	21950323	22089628	-1
10061	0.10399	ABCF2	7	7	150904923	150924317	-1
10062	0.43954	NR1H3	3	11	47269851	47290584	1
10063	0.12552	COX17	7	3	119388372	119396243	-1
100631383	0.13435	FAM47E-STBD1	28	4	77172853	77232283	1
100652732	0.09194	LOC100652732	5	10	97733786	97744451	1
100652740	0.09385	C16orf98	1	16	31213206	31214767	1
100652766	0.08795	LOC100652766	2	6	56535286	56708082	-1
100652774	0.13266	LOC100652774	6	2	31393688	31394569	-1
100652775	0.08314	HP11026	1	2	32288081	32289305	-1
100652807	0.39231	LOC100652807	12	3	28616925	28617911	-1
100652824	0.38978	LOC100652824	37	2	202937976	203019931	1
100652871	0.21667	LOC100652871	5	22	24278480	24284985	1
100652894	0.07957	LOC100652894	2	22	24530296	24535705	-1
100652901	0.10637	LOC100652901	7	22	25739543	25741001	-1
100652943	0.10148	LOC100652943	2	19	41319515	41321962	1
100652953	0.45728	LOC100652953	67	6	113985371	114160807	1
100653515	0.12466	LOC100653515	4	17	76886662	76899299	-1
10066	0.09129	SCAMP2	5	15	75137197	75165670	-1
10067	0.07962	SCAMP3	1	1	155225770	155232176	-1
10069	0.09445	RWDD2B	3	21	30378080	30391685	-1
1007	0.18185	CDH9	44	5	26880709	27038689	-1
10071	0.08984	MUC12	2	7	100612904	100662230	1
10072	0.13693	DPP3	7	11	66247484	66277130	1
10075	0.22378	HUWE1	13	X	53559057	53713697	-1
10076	0.48336	PTPRU	34	1	29563028	29653325	1
10077	0.08711	TSPAN32	8	11	2323243	2339430	1
10079	0.12804	ATP9A	51	20	50213314	50384908	-1
1008	0.41951	CDH10	47	5	24487209	24645085	-1
10082	0.26285	GPC6	402	13	93879078	95060274	1
100820829	0.23951	MYZAP	51	15	57884102	57977562	1
10083	0.16671	USH1C	44	11	17515442	17565963	-1
10085	0.36332	EDIL3	106	5	83238126	83680611	-1
10086	0.166	HHLA1	28	8	133073733	133117512	-1
100861412	0.08563	FSBP	1	8	95439940	95449180	-1
100861540	0.12842	CYP3A7-CYP3AP1	7	7	99282302	99332819	-1
10087	0.14663	COL4A3BP	14	5	74666928	74807806	-1
100885850	0.11096	PTGES3L-AARSD1	1	17	41102543	41132545	-1
1009	0.19525	CDH11	91	16	64980683	65155919	-1
10090	0.29325	UST	141	6	149068271	149398126	1
10092	0.11766	ARPC5	8	1	183595328	183605076	-1
10094	0.10031	ARPC3	1	12	110872706	110888158	-1
10095	0.09067	ARPC1B	1	7	98972298	98992424	1
10096	0.1408	ACTR3	30	2	114647537	114716167	1
10097	0.17356	ACTR2	8	2	65454829	65498387	1
10098	0.66265	TSPAN5	60	4	99391518	99579812	-1
10099	0.11822	TSPAN3	7	15	77336359	77363570	-1
100996250	0.11959	LOC100996250	23	9	96910254	96929080	1
100996254	0.20718	LOC100996254	17	12	97174967	97216602	1
100996256	0.79185	LOC100996256	24	7	149581312	149744967	-1
100996261	0.09654	LOC100996261	1	7	56880686	56881234	-1
100996276	0.6154	LOC100996276	10	13	101325513	101329241	1
100996279	0.44517	LOC100996279	30	X	68399400	68429767	1
100996282	0.09473	LOC100996282	1	17	7332180	7336081	1
100996287	0.12982	LOC100996287	29	9	106987575	107008852	1
100996289	0.2101	LOC100996289	2	19	12204657	12208888	1
100996290	0.14644	LOC100996290	19	6	153471303	153474011	1
100996301	0.12846	LOC100996301	11	1	63786557	63788623	-1
100996304	0.09104	LOC100996304	7	8	55568647	55638971	1
100996314	0.1037	LOC100996314	2	19	13948620	13951343	-1
100996325	0.20476	LOC100996325	9	5	600111	602702	-1
100996329	0.09658	LOC100996329	1	16	50639987	50647595	-1
100996331	0.08069	LOC100996331	1	15	22051872	22082770	-1
100996346	0.15977	LOC100996346	38	10	119494395	119495918	1
100996350	0.08001	LOC100996350	3	3	75717379	75719336	1
100996368	0.17373	LOC100996368	3	17	65239689	65241981	1
100996369	0.10447	LOC100996369	12	22	18973215	18973958	1
100996378	0.09899	LOC100996378	2	12	2964058	2966273	-1
100996382	0.09436	LOC100996382	11	18	21977240	21981171	1
100996394	0.14701	LOC100996394	29	2	4143980	4160874	1
100996405	0.08402	LOC100996405	1	19	7224256	7226055	-1
100996426	0.10597	LOC100996426	16	7	156898365	156903766	1
100996432	0.27535	LOC100996432	2	22	18859809	18880403	-1
100996440	0.13897	LOC100996440	28	19	32434797	32471220	-1
100996445	0.15131	LOC100996445	43	7	155712075	155737667	-1
100996451	0.24988	LOC100996451	3	7	73245329	73247005	-1
100996459	0.32216	LOC100996459	7	7	27773412	27784882	-1
100996461	0.12828	LOC100996461	8	2	73927556	73934687	1
100996465	0.11316	LOC100996465	3	X	153146133	153154444	1
