setID	setName	source	size.orig	name.source
730333	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	REACTOME	14	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
730332	Synthesis of IP2, IP, and Ins in the cytosol	REACTOME	11	Synthesis of IP2, IP, and Ins in the cytosol
730321	Synthesis of IP3 and IP4 in the cytosol	REACTOME	27	Synthesis of IP3 and IP4 in the cytosol
730320	Inositol phosphate metabolism	REACTOME	46	Inositol phosphate metabolism (REACTOME)
730318	Separation of Sister Chromatids	REACTOME	163	Separation of Sister Chromatids
730317	Mitotic Metaphase and Anaphase*	REACTOME	175	Mitotic Metaphase and Anaphase*
730315	Resolution of Sister Chromatid Cohesion	REACTOME	102	Resolution of Sister Chromatid Cohesion
730311	Molecules associated with elastic fibres	REACTOME	30	Molecules associated with elastic fibres
730310	Elastic fibre formation	REACTOME	41	Elastic fibre formation
730309	Collagen degradation	REACTOME	38	Collagen degradation
730306	Assembly of collagen fibrils and other multimeric structures	REACTOME	54	Assembly of collagen fibrils and other multimeric structures
714485	2-Oxocarboxylic acid metabolism	KEGG	17	2-Oxocarboxylic acid metabolism
712094	Cardiac Progenitor Differentiation	WikiPathways	53	Cardiac Progenitor Differentiation
712093	BDNF signaling pathway	WikiPathways	141	BDNF signaling pathway
711361	Oncostatin M Signaling Pathway	WikiPathways	63	Oncostatin M Signaling Pathway
711360	Integrated Pancreatic Cancer Pathway	WikiPathways	193	Integrated Pancreatic Cancer Pathway
705377	Parkinsons Disease Pathway	WikiPathways	39	Parkinsons Disease Pathway
703093	superpathway of citrulline metabolism	BIOCYC	13	superpathway of citrulline metabolism
700638	Parkin-Ubiquitin Proteasomal System pathway	WikiPathways	71	Parkin-Ubiquitin Proteasomal System pathway
698773	Circadian entrainment	KEGG	97	Circadian entrainment
698757	Deregulation of Rab and Rab Effector Genes in Bladder Cancer	WikiPathways	16	Deregulation of Rab and Rab Effector Genes in Bladder Cancer
698755	Drug Induction of Bile Acid Pathway	WikiPathways	17	Drug Induction of Bile Acid Pathway
698754	AGE/RAGE pathway	WikiPathways	66	AGE/RAGE pathway
698753	Interleukin-11 Signaling Pathway	WikiPathways	40	Interleukin-11 Signaling Pathway
695200	HIF-1 signaling pathway	KEGG	106	HIF-1 signaling pathway
694606	Hepatitis B	KEGG	146	Hepatitis B
692234	PI3K-Akt signaling pathway	KEGG	347	PI3K-Akt signaling pathway
685555	Metabolism of Angiotensinogen to Angiotensins	REACTOME	16	Metabolism of Angiotensinogen to Angiotensins
685554	Translocation of GLUT4 to the plasma membrane	REACTOME	61	Translocation of GLUT4 to the plasma membrane
685553	Arachidonic acid metabolism	REACTOME	49	Arachidonic acid metabolism (REACTOME)
685552	Activation of gene expression by SREBF (SREBP)	REACTOME	40	Activation of gene expression by SREBF (SREBP)
685551	Regulation of cholesterol biosynthesis by SREBP (SREBF)	REACTOME	53	Regulation of cholesterol biosynthesis by SREBP (SREBF)
685550	DAP12 signaling	REACTOME	158	DAP12 signaling
685549	DAP12 interactions	REACTOME	172	DAP12 interactions
685548	STING mediated induction of host immune responses	REACTOME	16	STING mediated induction of host immune responses
685535	Constitutive PI3K/AKT Signaling in Cancer	REACTOME	86	Constitutive PI3K/AKT Signaling in Cancer
673221	Chemical carcinogenesis	KEGG	79	Chemical carcinogenesis
672462	Prolactin Signaling Pathway	WikiPathways	75	Prolactin Signaling Pathway (WikiPathways)
672461	Iron metabolism in placenta	WikiPathways	12	Iron metabolism in placenta
672460	Neural Crest Differentiation	WikiPathways	101	Neural Crest Differentiation
672458	Signaling Pathways in Glioblastoma	WikiPathways	80	Signaling Pathways in Glioblastoma
672457	Synaptic Vesicle Pathway	WikiPathways	51	Synaptic Vesicle Pathway
672456	Leptin signaling pathway	WikiPathways	60	Leptin signaling pathway
672455	FSH signaling pathway	WikiPathways	27	FSH signaling pathway
672453	Endothelin	WikiPathways	33	Endothelin
672452	TWEAK Signaling Pathway	WikiPathways	43	TWEAK Signaling Pathway
672451	TSLP Signaling Pathway	WikiPathways	38	TSLP Signaling Pathway
672450	Integrated Cancer pathway	WikiPathways	35	Integrated Cancer pathway
672449	miRs in Muscle Cell Differentiation	WikiPathways	30	miRs in Muscle Cell Differentiation
672448	Alzheimers Disease	WikiPathways	79	Alzheimers Disease
672447	RANKL/RANK Signaling Pathway	WikiPathways	54	RANKL/RANK Signaling Pathway
672446	TSH signaling pathway	WikiPathways	64	TSH signaling pathway
658418	Viral carcinogenesis	KEGG	205	Viral carcinogenesis
645352	Reversible hydration of carbon dioxide	REACTOME	12	Reversible hydration of carbon dioxide
645343	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism*	REACTOME	12	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism*
645341	Synthesis of PIPs at the late endosome membrane	REACTOME	10	Synthesis of PIPs at the late endosome membrane
645338	Synthesis of PIPs at the early endosome membrane	REACTOME	13	Synthesis of PIPs at the early endosome membrane
645336	Synthesis of PIPs at the plasma membrane	REACTOME	33	Synthesis of PIPs at the plasma membrane
645334	Synthesis of PIPs at the Golgi membrane	REACTOME	18	Synthesis of PIPs at the Golgi membrane
645332	PI Metabolism	REACTOME	51	PI Metabolism
645328	Acyl chain remodelling of PG	REACTOME	18	Acyl chain remodelling of PG
645326	Acyl chain remodelling of PI	REACTOME	16	Acyl chain remodelling of PI
645324	Acyl chain remodelling of PS	REACTOME	18	Acyl chain remodelling of PS
645321	Acyl chain remodelling of PC	REACTOME	26	Acyl chain remodelling of PC
645319	Synthesis of PC	REACTOME	19	Synthesis of PC
645317	Acyl chain remodelling of PE	REACTOME	24	Acyl chain remodelling of PE
645316	Synthesis of PE	REACTOME	12	Synthesis of PE
645314	Synthesis of PA	REACTOME	29	Synthesis of PA
645313	Glycerophospholipid biosynthesis	REACTOME	89	Glycerophospholipid biosynthesis
645312	Phospholipid metabolism	REACTOME	139	Phospholipid metabolism
645311	CS/DS degradation	REACTOME	14	CS/DS degradation
645309	Chondroitin sulfate biosynthesis	REACTOME	21	Chondroitin sulfate biosynthesis (REACTOME)
645308	Chondroitin sulfate/dermatan sulfate metabolism	REACTOME	51	Chondroitin sulfate/dermatan sulfate metabolism
645307	HS-GAG degradation	REACTOME	21	HS-GAG degradation
645306	HS-GAG biosynthesis	REACTOME	31	HS-GAG biosynthesis
645305	A tetrasaccharide linker sequence is required for GAG synthesis	REACTOME	26	A tetrasaccharide linker sequence is required for GAG synthesis
645304	Heparan sulfate/heparin (HS-GAG) metabolism	REACTOME	54	Heparan sulfate/heparin (HS-GAG) metabolism
645303	Keratan sulfate degradation	REACTOME	12	Keratan sulfate degradation
645302	Keratan sulfate biosynthesis	REACTOME	28	Keratan sulfate biosynthesis
645301	Keratan sulfate/keratin metabolism	REACTOME	33	Keratan sulfate/keratin metabolism
645300	Hyaluronan uptake and degradation	REACTOME	12	Hyaluronan uptake and degradation
645298	Hyaluronan metabolism	REACTOME	16	Hyaluronan metabolism
645297	Glycosaminoglycan metabolism*	REACTOME	122	Glycosaminoglycan metabolism*
645295	Gastrin-CREB signalling pathway via PKC and MAPK	REACTOME	213	Gastrin-CREB signalling pathway via PKC and MAPK
645294	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	REACTOME	16	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
645293	Downregulation of TGF-beta receptor signaling	REACTOME	26	Downregulation of TGF-beta receptor signaling
645292	TGF-beta receptor signaling activates SMADs	REACTOME	32	TGF-beta receptor signaling activates SMADs
645291	The activation of arylsulfatases	REACTOME	13	The activation of arylsulfatases
645290	MHC class II antigen presentation	REACTOME	100	MHC class II antigen presentation
645289	Collagen biosynthesis and modifying enzymes	REACTOME	65	Collagen biosynthesis and modifying enzymes
645288	Collagen formation	REACTOME	87	Collagen formation
645278	Signaling by FGFR1 fusion mutants	REACTOME	19	Signaling by FGFR1 fusion mutants
645276	Signaling by FGFR1 mutants	REACTOME	30	Signaling by FGFR1 mutants
645275	Signaling by FGFR mutants	REACTOME	45	Signaling by FGFR mutants
645274	Signaling by FGFR in disease	REACTOME	171	Signaling by FGFR in disease
645267	Latent infection of Homo sapiens with Mycobacterium tuberculosis*	REACTOME	33	Latent infection of Homo sapiens with Mycobacterium tuberculosis*
645266	Downregulation of SMAD2/3:SMAD4 transcriptional activity	REACTOME	23	Downregulation of SMAD2/3:SMAD4 transcriptional activity
645265	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	REACTOME	29	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
645264	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	REACTOME	41	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
645262	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	REACTOME	18	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha
645259	Cellular response to hypoxia*	REACTOME	25	Cellular response to hypoxia*
645258	Cellular responses to stress	REACTOME	265	Cellular responses to stress
634527	NF-kappa B signaling pathway	KEGG	90	NF-kappa B signaling pathway
618580	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	KEGG	20	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
585563	Alcoholism	KEGG	180	Alcoholism
585562	Epstein-Barr virus infection	KEGG	198	Epstein-Barr virus infection
583255	Nicotine addiction	KEGG	40	Nicotine addiction
576276	YAP1- and WWTR1 (TAZ)-stimulated gene expression	REACTOME	25	YAP1- and WWTR1 (TAZ)-stimulated gene expression
576275	Signaling by Hippo	REACTOME	20	Signaling by Hippo
576274	Signaling by NOTCH4	REACTOME	11	Signaling by NOTCH4
576273	Signaling by NOTCH3	REACTOME	11	Signaling by NOTCH3
576272	Signaling by NOTCH2	REACTOME	32	Signaling by NOTCH2
576271	NOTCH1 Intracellular Domain Regulates Transcription	REACTOME	47	NOTCH1 Intracellular Domain Regulates Transcription
576270	Activated NOTCH1 Transmits Signal to the Nucleus	REACTOME	30	Activated NOTCH1 Transmits Signal to the Nucleus
576269	Signaling by NOTCH1*	REACTOME	72	Signaling by NOTCH1*
576268	Pre-NOTCH Processing in Golgi	REACTOME	20	Pre-NOTCH Processing in Golgi
576266	Pre-NOTCH Transcription and Translation	REACTOME	29	Pre-NOTCH Transcription and Translation
576265	Pre-NOTCH Expression and Processing	REACTOME	47	Pre-NOTCH Expression and Processing
576264	Activation of Matrix Metalloproteinases	REACTOME	32	Activation of Matrix Metalloproteinases
576263	Degradation of the extracellular matrix	REACTOME	89	Degradation of the extracellular matrix
576262	Extracellular matrix organization	REACTOME	264	Extracellular matrix organization
576261	Mitochondrial protein import	REACTOME	52	Mitochondrial protein import
576260	RORA activates circadian gene expression	REACTOME	25	RORA activates circadian gene expression
576259	REV-ERBA represses gene expression	REACTOME	24	REV-ERBA represses gene expression
576258	RIP-mediated NFkB activation via ZBP1	REACTOME	21	RIP-mediated NFkB activation via ZBP1
576256	ZBP1(DAI) mediated induction of type I IFNs	REACTOME	26	ZBP1(DAI) mediated induction of type I IFNs
576255	Cytosolic sensors of pathogen-associated DNA	REACTOME	66	Cytosolic sensors of pathogen-associated DNA
576254	Regulation of Complement cascade	REACTOME	22	Regulation of Complement cascade
576253	Trafficking and processing of endosomal TLR	REACTOME	14	Trafficking and processing of endosomal TLR
576251	Activation of NF-kappaB in B cells	REACTOME	66	Activation of NF-kappaB in B cells
576250	Downstream signaling events of B Cell Receptor (BCR)	REACTOME	168	Downstream signaling events of B Cell Receptor (BCR)
576249	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	REACTOME	33	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
576248	Signaling by the B Cell Receptor (BCR)	REACTOME	195	Signaling by the B Cell Receptor (BCR)
552665	Morphine addiction	KEGG	93	Morphine addiction
547607	Amphetamine addiction	KEGG	68	Amphetamine addiction
547492	superpathway of inositol phosphate compounds	BIOCYC	67	superpathway of inositol phosphate compounds
546258	Cocaine addiction	KEGG	50	Cocaine addiction
545362	purine nucleotides degradation II (aerobic)	BIOCYC	12	purine nucleotides degradation II (aerobic)
545359	superpathway of melatonin degradation	BIOCYC	13	superpathway of melatonin degradation
545356	melatonin degradation I	BIOCYC	11	melatonin degradation I
545354	noradrenaline and adrenaline degradation	BIOCYC	10	noradrenaline and adrenaline degradation
545353	serotonin degradation	BIOCYC	11	serotonin degradation
545349	3-phosphoinositide degradation	BIOCYC	21	3-phosphoinositide degradation
545332	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)	BIOCYC	15	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)
545328	D-myo-inositol (1,3,4)-trisphosphate biosynthesis	BIOCYC	15	D-myo-inositol (1,3,4)-trisphosphate biosynthesis
545327	D-myo-inositol (1,4,5)-trisphosphate degradation	BIOCYC	13	D-myo-inositol (1,4,5)-trisphosphate degradation
545326	D-myo-inositol (1,4,5)-trisphosphate biosynthesis	BIOCYC	24	D-myo-inositol (1,4,5)-trisphosphate biosynthesis
545325	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism	BIOCYC	20	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism
545316	bile acid biosynthesis, neutral pathway	BIOCYC	13	bile acid biosynthesis, neutral pathway
545315	D-myo-inositol-5-phosphate metabolism	BIOCYC	18	D-myo-inositol-5-phosphate metabolism
545314	3-phosphoinositide biosynthesis	BIOCYC	27	3-phosphoinositide biosynthesis
545309	gamma-linolenate biosynthesis II (animals)	BIOCYC	12	gamma-linolenate biosynthesis II (animals)
545294	the visual cycle I (vertebrates)	BIOCYC	15	the visual cycle I (vertebrates)
545293	retinol biosynthesis	BIOCYC	17	retinol biosynthesis
545288	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	BIOCYC	14	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
545284	NAD salvage pathway II	BIOCYC	12	NAD salvage pathway II
545280	dermatan sulfate biosynthesis	BIOCYC	16	dermatan sulfate biosynthesis
545279	chondroitin sulfate biosynthesis	BIOCYC	20	chondroitin sulfate biosynthesis (BIOCYC)
545278	heparan sulfate biosynthesis	BIOCYC	26	heparan sulfate biosynthesis
545274	heparan sulfate biosynthesis (late stages)	BIOCYC	20	heparan sulfate biosynthesis (late stages)
537443	Retrograde endocannabinoid signaling	KEGG	103	Retrograde endocannabinoid signaling
530772	ATF4 activates genes	REACTOME	25	ATF4 activates genes
530769	Signaling by constitutively active EGFR	REACTOME	19	Signaling by constitutively active EGFR
530768	Signaling by EGFR in Cancer*	REACTOME	175	Signaling by EGFR in Cancer*
530764	Disease	REACTOME	1110	Disease
530763	Prolactin receptor signaling	REACTOME	15	Prolactin receptor signaling
530760	Antiviral mechanism by IFN-stimulated genes*	REACTOME	71	Antiviral mechanism by IFN-stimulated genes*
530759	Beta defensins	REACTOME	40	Beta defensins
530757	Defensins	REACTOME	50	Defensins
530753	Sulfur amino acid metabolism	REACTOME	25	Sulfur amino acid metabolism
530751	Glycosphingolipid metabolism	REACTOME	39	Glycosphingolipid metabolism
530750	Sphingolipid de novo biosynthesis	REACTOME	32	Sphingolipid de novo biosynthesis
530748	Termination of O-glycan biosynthesis	REACTOME	23	Termination of O-glycan biosynthesis
530747	O-linked glycosylation of mucins	REACTOME	62	O-linked glycosylation of mucins
530746	SRP-dependent cotranslational protein targeting to membrane	REACTOME	108	SRP-dependent cotranslational protein targeting to membrane
530744	Nuclear signaling by ERBB4	REACTOME	39	Nuclear signaling by ERBB4
530742	SHC1 events in ERBB4 signaling	REACTOME	21	SHC1 events in ERBB4 signaling
530741	Signaling by ERBB4	REACTOME	147	Signaling by ERBB4
530738	PLCG1 events in ERBB2 signaling*	REACTOME	36	PLCG1 events in ERBB2 signaling*
530736	GRB2 events in ERBB2 signaling	REACTOME	23	GRB2 events in ERBB2 signaling
530735	SHC1 events in ERBB2 signaling	REACTOME	25	SHC1 events in ERBB2 signaling
530734	Signaling by ERBB2	REACTOME	157	Signaling by ERBB2
530733	Cell Cycle	REACTOME	548	Cell Cycle (REACTOME)
525336	Serotonergic synapse	KEGG	114	Serotonergic synapse
524497	Sphingosine biosynthesis	KEGG	16	Sphingosine biosynthesis
524496	Ceramide biosynthesis	KEGG	12	Ceramide biosynthesis
523016	Transcriptional misregulation in cancer	KEGG	179	Transcriptional misregulation in cancer
477139	G0 and Early G1	REACTOME	25	G0 and Early G1
477138	BMAL1:CLOCK,NPAS2 activates circadian gene expression	REACTOME	37	BMAL1:CLOCK,NPAS2 activates circadian gene expression
477137	The citric acid (TCA) cycle and respiratory electron transport	REACTOME	122	The citric acid (TCA) cycle and respiratory electron transport
477134	Meiotic synapsis	REACTOME	75	Meiotic synapsis
477133	Meiosis	REACTOME	115	Meiosis
477132	Cell-Cell communication	REACTOME	131	Cell-Cell communication
477130	Signaling by NODAL	REACTOME	19	Signaling by NODAL
477129	Developmental Biology	REACTOME	433	Developmental Biology
477128	Growth hormone receptor signaling	REACTOME	24	Growth hormone receptor signaling
477126	Cross-presentation of soluble exogenous antigens (endosomes)	REACTOME	49	Cross-presentation of soluble exogenous antigens (endosomes)
477124	ER-Phagosome pathway	REACTOME	64	ER-Phagosome pathway
477122	Antigen processing-Cross presentation	REACTOME	80	Antigen processing-Cross presentation
477121	Regulation of KIT signaling	REACTOME	16	Regulation of KIT signaling
477120	Signaling by SCF-KIT	REACTOME	137	Signaling by SCF-KIT
477118	Negative regulation of FGFR signaling	REACTOME	40	Negative regulation of FGFR signaling
477115	DAG and IP3 signaling	REACTOME	33	DAG and IP3 signaling
477112	ABCA transporters in lipid homeostasis	REACTOME	17	ABCA transporters in lipid homeostasis
