objID	objStat	objName	SNPcount	chr	startpos	endpos	length	strand	dbsnp	bin
146	1.08477346656642	ADRA1D	27	20	4201278	4229659	28382	-1	rs12480260	12
147	1.84543696571741	ADRA1B	35	5	159343740	159400017	56278	1	rs7723967	13
148	1.84208990633684	ADRA1A	97	8	26605667	26722922	117256	-1	rs7818109	15
150	2.11584491112601	ADRA2A	18	10	112836790	112840665	3876	1	rs12242885	10
151	1.05835418138629	ADRA2B	3	2	96778623	96781888	3266	-1	rs2579550	3
152	1.73719929120949	ADRA2C	18	4	3768296	3770253	1958	1	rs1894441	10
153	2.94133584820751	ADRB1	27	10	115803806	115806667	2862	1	rs426121	12
154	2.49561215126642	ADRB2	41	5	148206156	148208197	2042	1	rs7731796	13
156	1.79067166049708	ADRBK1	3	11	67033905	67054029	20125	1	rs12274774	3
157	2.62692627252339	ADRBK2	30	22	25960861	26125259	164399	1	rs4822643	12
158	0.15504987263641	ADSL	1	22	40742504	40762577	20074	1	rs8135371	1
159	1.96678502248495	ADSS	16	1	244571794	244615436	43643	-1	rs12032765	9
160	-0.101340710773614	AP2A1	6	19	50270180	50310369	40190	1	rs7251463	5
161	1.36317298227603	AP2A2	10	11	925809	1012245	86437	1	rs11605562	7
162	1.24526597040195	AP1B1	17	22	29723669	29784572	60904	-1	rs2283858	9
163	0.721542178027896	AP2B1	25	17	33914282	34053436	139155	1	rs226436	11
164	0.918857714445337	AP1G1	6	16	71762903	71842976	80074	-1	rs7203231	5
165	0.289880055808199	AEBP1	4	7	44143960	44154159	10200	1	rs1558469	4
166	1.81450508881168	AES	7	19	3052908	3062964	10057	-1	rs12461372	5
167	0.79360057090812	CRISP1	19	6	49801970	49844809	42840	-1	rs12200099	10
173	1.71583634488289	AFM	10	4	74347462	74369718	22257	1	rs7656821	7
174	0.895005776642048	AFP	8	4	74301933	74321492	19560	1	rs4632620	6
175	1.57591236908338	AGA	17	4	178351928	178363657	11730	-1	rs4690525	9
176	2.37371787865544	ACAN	36	15	89346674	89418585	71912	1	rs9630453	13
177	0.812989636506012	AGER	3	6	32148745	32152099	3355	-1	rs2070600	3
178	1.36686380160193	AGL	37	1	100315640	100389579	73940	1	rs482825	13
181	1.52845342067541	AGRP	1	16	67516474	67517716	1243	-1	rs9934658	1
182	1.18606153355298	JAG1	24	20	10618332	10654694	36363	-1	rs7271215	11
183	1.73492551026985	AGT	26	1	230838269	230850336	12068	-1	rs7524283	11
185	2.34205283105597	AGTR1	43	3	148415658	148460790	45133	1	rs401193	13
186	1.63762473478263	AGTR2	11	X	115301958	115306225	4268	1	rs1914718	7
187	2.09131317000123	APLNR	12	11	57001051	57004927	3877	-1	rs4938853	8
189	-0.232646391925749	AGXT	9	2	241808162	241818536	10375	1	rs11679258	6
190	1.45763201579759	NR0B1	21	X	30322539	30327495	4957	-1	rs9887675	10
191	2.43180001666549	AHCY	6	20	32868071	32899608	31538	-1	rs1205357	5
196	2.11678616565231	AHR	28	7	17338276	17385775	47500	1	rs10270897	12
197	0.415770428059119	AHSG	9	3	186330850	186339107	8258	1	rs6788635	6
199	1.22582111361665	AIF1	4	6	31582994	31584798	1805	1	rs2269475	4
202	1.78138240890512	AIM1	56	6	106959730	107018335	58606	1	rs4946762	14
203	0.984878001969305	AK1	7	9	130628759	130640022	11264	-1	rs4837197	5
204	1.37047074997288	AK2	6	1	33473541	33502512	28972	-1	rs11810032	5
205	1.35433350947325	AK4	36	1	65613232	65697828	84597	1	rs2375754	13
207	1.60949567480065	AKT1	3	14	105235686	105262080	26395	-1	rs2494738	3
208	0.314757213906553	AKT2	4	19	40736224	40791265	55042	-1	rs10415181	4
210	0.699761919468125	ALAD	15	9	116148592	116163618	15027	-1	rs818702	9
211	-1.10871302772483	ALAS1	5	3	52232116	52248343	16228	1	rs352158	4
212	0.879256898527759	ALAS2	3	X	55035488	55057497	22010	-1	rs704145	3
213	-0.488762287839126	ALB	5	4	74269972	74287129	17158	1	rs16849364	4
214	1.06646830261956	ALCAM	70	3	105085713	105295744	210032	1	rs1017913	14
215	1.44342779131323	ABCD1	2	X	152990323	153010216	19894	1	rs7063261	2
216	1.65308286559173	ALDH1A1	39	9	75515578	75568233	52656	-1	rs17058219	13
217	2.42010561213921	ALDH2	8	12	112204691	112247789	43099	1	rs4767944	6
218	0.579570932063423	ALDH3A1	8	17	19641297	19651746	10450	-1	rs3744695	6
219	1.24333068837587	ALDH1B1	22	9	38392702	38398658	5957	1	rs11790480	11
220	4.61138236230823	ALDH1A3	26	15	101420009	101456831	36823	1	rs4461053	11
221	0.99083941428231	ALDH3B1	9	11	67776048	67796743	20696	1	rs557098	6
222	3.07971321935056	ALDH3B2	13	11	67429633	67448685	19053	-1	rs6591267	8
223	2.03998319039956	ALDH9A1	15	1	165631449	165667900	36452	-1	rs12027066	9
224	1.31572607241334	ALDH3A2	10	17	19552064	19580908	28845	1	rs3760489	7
225	1.0587931367866	ABCD2	10	12	39945022	40013843	68822	-1	rs12582802	7
226	1.4604516008205	ALDOA	3	16	30064491	30081735	17245	1	rs2071390	3
229	1.94976613191134	ALDOB	12	9	104182842	104198062	15221	-1	rs10760796	8
231	1.58420972919384	AKR1B1	31	7	134127107	134143888	16782	-1	rs9640883	12
238	2.61031078232406	ALK	371	2	29415640	30144477	728838	-1	rs4666204	15
239	2.84307895830293	ALOX12	16	17	6899384	6914055	14672	1	rs8065014	9
240	1.35126050135685	ALOX5	28	10	45869629	45941565	71937	1	rs12247314	12
241	1.92698098259259	ALOX5AP	60	13	31287615	31338565	50951	1	rs4075132	14
242	0.947225272435482	ALOX12B	17	17	7975954	7991021	15068	-1	rs7221090	9
244	1.12133803813058	ANXA8L2	4	10	47746920	47763041	16122	1	rs4128664	4
246	0.4838786404083	ALOX15	6	17	4534214	4544960	10747	-1	rs748694	5
247	0.341347490708733	ALOX15B	9	17	7942358	7952452	10095	1	rs7216269	6
248	-0.0992396425392275	ALPI	10	2	233320833	233324742	3910	1	rs11693163	7
249	2.26309230194765	ALPL	43	1	21835858	21904905	69048	1	rs2242421	13
250	1.14999968746235	ALPP	4	2	233243348	233247599	4252	1	rs2741302	4
251	0.154438498954193	ALPPL2	5	2	233271552	233275424	3873	1	rs2139026	4
257	1.28057780499774	ALX3	5	1	110602997	110613322	10326	-1	rs1027462	4
258	-0.879496739862319	AMBN	1	4	71458001	71473005	15005	1	rs4694075	1
259	0.867427170658635	AMBP	11	9	116822407	116840752	18346	-1	rs891725	7
262	1.79339366393035	AMD1	5	6	111195987	111216913	20927	1	rs7751692	4
265	-0.112085013547599	AMELX	1	X	11311533	11318881	7349	1	rs946252	1
267	0.0220751613732827	AMFR	7	16	56395364	56459444	64081	-1	rs2920706	5
268	0.24627417469276	AMH	1	19	2249113	2252072	2960	1	rs10407022	1
269	3.51125282891922	AMHR2	3	12	53817639	53825318	7680	1	rs784894	3
270	0.9165662054175	AMPD1	5	1	115215719	115238239	22521	-1	rs761755	4
271	1.37926845091404	AMPD2	6	1	110162459	110174677	12219	1	rs11101973	5
272	1.7656296637456	AMPD3	47	11	10471868	10529126	57259	1	rs12577015	14
273	1.71535587566907	AMPH	122	7	38423297	38671167	247871	-1	rs4723777	15
274	1.74728450225288	BIN1	48	2	127805607	127864864	59258	-1	rs12993006	14
278	0.909068440892833	AMY1C	9	1	104292441	104301310	8870	1	rs7515323	6
280	1.01186208486651	AMY2B	7	1	104097322	104122151	24830	1	rs7515452	5
283	2.19779104345721	ANG	13	14	21152336	21162345	10010	1	rs2319381	8
284	2.63049748681806	ANGPT1	116	8	108261710	108510254	248545	-1	rs7007769	15
285	2.1567647369499	ANGPT2	61	8	6357172	6420784	63613	-1	rs1562714	14
286	2.04902162895728	ANK1	81	8	41510744	41754280	243537	-1	rs2883727	15
287	2.70153603842806	ANK2	206	4	113739239	114304896	565658	1	rs7664927	15
288	2.7801129159043	ANK3	238	10	61786056	62493284	707229	-1	rs7911953	15
290	1.56779920717818	ANPEP	14	15	90328126	90358072	29947	-1	rs10152918	8
291	1.7766611984194	SLC25A4	21	4	186064417	186071538	7122	1	rs1872719	10
292	0.0109065558469124	SLC25A5	6	X	118602363	118605359	2997	1	rs4825645	5
301	1.04026241685385	ANXA1	48	9	75766781	75785307	18527	1	rs12348535	14
302	1.5876301338681	ANXA2	34	15	60639350	60690185	50836	-1	rs1545540	13
306	3.05561426890458	ANXA3	32	4	79472742	79531605	58864	1	rs7673877	12
307	2.31446917896271	ANXA4	28	2	69969127	70053596	84470	1	rs6546544	12
308	1.92217294431435	ANXA5	36	4	122589152	122618147	28996	-1	rs725882	13
309	1.72657510569939	ANXA6	57	5	150480267	150537443	57177	-1	rs3792775	14
310	3.08202148103908	ANXA7	5	10	75135189	75173841	38653	-1	rs7090105	4
311	1.05255279860386	ANXA11	21	10	81914880	81965328	50449	-1	rs6585454	10
312	1.59759113791957	ANXA13	32	8	124693034	124749647	56614	-1	rs6984344	12
313	2.25882938340606	AOAH	129	7	36552549	36764154	211606	-1	rs2041799	15
314	0.142615316904664	AOC2	1	17	40996609	41002724	6116	1	rs16968038	1
316	1.34716219729781	AOX1	46	2	201450731	201536218	85488	1	rs2243822	14
317	1.08086313334067	APAF1	16	12	99039078	99129211	90134	1	rs7314884	9
318	1.49778161110887	NUDT2	4	9	34329504	34343696	14193	1	rs10972072	4
319	2.86440003826807	APOF	2	12	56754355	56756583	2229	-1	rs7979812	2
320	2.12980155818377	APBA1	72	9	72042449	72287275	244827	-1	rs4629937	15
321	2.65588748981051	APBA2	51	15	29213840	29410518	196679	1	rs8037972	14
322	1.64209653339588	APBB1	8	11	6416355	6440644	24290	-1	rs12290398	6
323	1.87353894568076	APBB2	127	4	40812044	41216635	404592	-1	rs1876495	15
324	1.08342460335361	APC	36	5	112043202	112181936	138735	1	rs454886	13
325	2.57033572630909	APCS	19	1	159557616	159558661	1046	1	rs12057245	10
326	1.45091331416414	AIRE	14	21	45705763	45718110	12348	1	rs8130070	8
327	-0.175926100381368	APEH	1	3	49711435	49720934	9500	1	rs4855882	1
329	-0.306098040269916	BIRC2	4	11	102217966	102249401	31436	1	rs10895290	4
330	2.12483959125623	BIRC3	14	11	102188194	102208465	20272	1	rs12284238	8
331	1.72702039901878	XIAP	13	X	122993662	123047829	54168	1	rs7880177	8
332	-0.163389207330711	BIRC5	10	17	76210277	76221716	11440	1	rs4789555	7
333	1.6401884022072	APLP1	2	19	36359401	36370699	11299	1	rs16970742	2
334	2.61106778952143	APLP2	25	11	129939716	130014706	74991	1	rs2054247	11
336	0.34937473270712	APOA2	2	1	161192083	161193418	1336	-1	rs12721035	2
337	-0.0353081808810218	APOA4	1	11	116691418	116694011	2594	-1	rs1263167	1
338	1.647126729899	APOB	29	2	21224301	21266945	42645	-1	rs7558478	12
339	1.88980533344761	APOBEC1	14	12	7801996	7818502	16507	-1	rs7968271	8
343	1.03131740280937	AQP8	4	16	25228285	25240253	11969	1	rs12325483	4
346	0.605447045392006	APOC4	2	19	45445495	45448753	3259	1	rs12721104	2
347	0.229402619990036	APOD	1	3	195295573	195311076	15504	-1	rs823504	1
348	0.479540729815175	APOE	2	19	45409039	45412650	3612	1	rs405509	2
350	2.3954053499655	APOH	32	17	64208147	64225556	17410	-1	rs8079985	12
351	2.45216381405329	APP	112	21	27252861	27543446	290586	-1	rs2829937	15
353	-0.328705892562311	APRT	2	16	88875877	88878342	2466	-1	rs8191478	2
354	1.23404536595809	KLK3	12	19	51358171	51364020	5850	1	rs8112276	8
355	2.23844577177202	FAS	29	10	90750288	90775542	25255	1	rs2154253	12
356	1.72344546014427	FASLG	18	1	172628185	172636013	7829	1	rs929087	10
357	1.56956648811432	SHROOM2	53	X	9754496	9917481	162986	1	rs12395804	14
358	1.73547898839404	AQP1	13	7	30951415	30965131	13717	1	rs7788618	8
359	1.10821725636573	AQP2	9	12	50344524	50352664	8141	1	rs584878	6
360	0.437404529238616	AQP3	15	9	33441158	33447590	6433	-1	rs3849904	9
361	1.39998436665843	AQP4	42	18	24432007	24445716	13710	-1	rs10163740	13
362	-0.121387648000621	AQP5	1	12	50355279	50359461	4183	1	rs3759129	1
363	1.52663419108579	AQP6	2	12	50366620	50370922	4303	1	rs2849266	2
364	0.597769116934733	AQP7	9	9	33384948	33402517	17570	-1	rs3758268	6
366	1.75280199851228	AQP9	51	15	58430408	58478110	47703	1	rs12593703	14
367	2.58869636905173	AR	13	X	66763874	66944119	180246	1	rs5919393	8
368	0.947264530625209	ABCC6	23	16	16243422	16317328	73907	-1	rs7500840	11
369	0.0335499924983325	ARAF	7	X	47420516	47431320	10805	1	rs7054801	5
372	0.918345525903435	ARCN1	2	11	118443102	118473748	30647	1	rs17742	2
373	1.06417815733369	TRIM23	9	5	64885507	64920187	34681	-1	rs16894051	6
374	1.1873692592589	AREG	7	4	75310853	75320726	9874	1	rs1246415	5
375	0.177710931257736	ARF1	2	1	228270361	228286913	16553	1	rs3768331	2
377	-0.289440900065903	ARF3	2	12	49329992	49351252	21261	-1	rs833831	2
378	1.54901547534044	ARF4	5	3	57557090	57583215	26126	-1	rs7625929	4
379	2.51009115464779	ARL4D	18	17	41476353	41478504	2152	1	rs8078799	10
381	0.569902248146521	ARF5	1	7	127228406	127231759	3354	1	rs1419428	1
382	2.75809105795307	ARF6	4	14	50359736	50363772	4037	1	rs10450917	4
383	1.85800714266902	ARG1	17	6	131894365	131905468	11104	1	rs11759748	9
384	0.69742957234302	ARG2	9	14	68086579	68118437	31859	1	rs10483801	6
387	0.593016664197216	RHOA	2	3	49396578	49449526	52949	-1	rs3448	2
388	1.84336319513228	RHOB	36	2	20646835	20649201	2367	1	rs959058	13
389	-0.0520811910395245	RHOC	1	1	113243749	113250025	6277	-1	rs954679	1
390	1.52538940426288	RND3	34	2	151324709	151344180	19472	-1	rs16828191	13
391	0.850343749204515	RHOG	6	11	3848208	3862213	14006	-1	rs7929197	5
392	-0.87041436347766	ARHGAP1	2	11	46698630	46722120	23491	-1	rs8914	2
393	0.463326993493751	ARHGAP4	2	X	153172830	153191714	18885	-1	rs2070097	2
394	2.37929049821766	ARHGAP5	30	14	32546495	32628934	82440	1	rs17098508	12
395	2.64339177854533	ARHGAP6	66	X	11155663	11683821	528159	-1	rs6640729	14
397	1.83108404209193	ARHGDIB	12	12	15094950	15114562	19613	-1	rs2075266	8
398	0.184476067901917	ARHGDIG	1	16	330606	333003	2398	1	rs373271	1
399	1.64554243087803	RHOH	31	4	40198527	40246281	47755	1	rs9994274	12
400	0.921180877940836	ARL1	12	12	101786903	101801572	14670	-1	rs10860725	8
401	0.71348450183216	PHOX2A	5	11	71950121	71955220	5100	-1	rs628542	4
402	0.736165475656632	ARL2	2	11	64781585	64789657	8073	1	rs663767	2
403	0.752600528436845	ARL3	4	10	104433484	104474190	40707	-1	rs10883766	4
405	0.900173361527796	ARNT	9	1	150782181	150849244	67064	-1	rs16827772	6
406	1.95296282797923	ARNTL	53	11	13299325	13408813	109489	1	rs1531754	14
407	0.700508177585116	ARR3	1	X	69488185	69501690	13506	1	rs3843841	1
408	1.55570608061677	ARRB1	35	11	74971166	75062875	91710	-1	rs582477	13
409	1.39520509847886	ARRB2	3	17	4613789	4624795	11007	1	rs4790694	3
410	0.778996120580424	ARSA	13	22	51061182	51066601	5420	-1	rs5770953	8
411	2.40262208528626	ARSB	101	5	78073032	78282357	209326	-1	rs337832	15
412	1.29809701478047	STS	15	X	7137472	7272682	135211	1	rs5979364	9
414	0.762901737378595	ARSD	4	X	2822011	2847392	25382	-1	rs2228431	4
415	0.315434204439016	ARSE	1	X	2852673	2882494	29822	-1	rs5982926	1
416	0.704104014906182	ARSF	6	X	2958275	3030770	72496	1	rs2034740	5
417	0.485214778443645	ART1	6	11	3666361	3685646	19286	1	rs11028806	5
419	1.91974592692415	ART3	31	4	76932337	77033955	101619	1	rs13139234	12
420	0.511044352989082	ART4	8	12	14982245	14996413	14169	-1	rs2445411	6
421	1.67856937137195	ARVCF	23	22	19957402	20004309	46908	-1	rs2531697	11
427	1.95450097222069	ASAH1	56	8	17913925	17942507	28583	-1	rs2739679	14
429	0.125449123900948	ASCL1	7	12	103351452	103354294	2843	1	rs9782	5
430	2.55732703379054	ASCL2	16	11	2289728	2292182	2455	-1	rs6578247	9
432	1.20676670966169	ASGR1	2	17	7076750	7082883	6134	-1	rs4558460	2
433	1.10180144970375	ASGR2	17	17	7004641	7018130	13490	-1	rs314246	9
434	1.31073887475753	ASIP	5	20	32848171	32857148	8978	1	rs2378132	4
435	0.0548976551285822	ASL	5	7	65540776	65558330	17555	1	rs365896	4
439	1.32553430246963	ASNA1	2	19	12848306	12859137	10832	1	rs8177478	2
440	0.354737839905294	ASNS	19	7	97481429	97501854	20426	-1	rs2136704	10
443	1.75910309105344	ASPA	20	17	3377404	3402700	25297	1	rs3786009	10
444	1.08005430160928	ASPH	62	8	62413115	62627199	214085	-1	rs10808719	14
445	2.68384885891552	ASS1	47	9	133320094	133376661	56568	1	rs2991274	14
460	2.28107515554722	ASTN1	58	1	176830203	177134024	303822	-1	rs1016612	14
462	0.452345642105004	SERPINC1	6	1	173872942	173886516	13575	-1	rs2227605	5
463	2.82270746883491	ZFHX3	87	16	72816784	73092534	275751	-1	rs16971325	15
466	1.78800004851811	ATF1	8	12	51157789	51214943	57155	1	rs6580768	6
467	2.28933320200015	ATF3	46	1	212738697	212794117	55421	1	rs12564392	14
471	1.18078033017409	ATIC	26	2	216176679	216214496	37818	1	rs7578865	11
472	1.84391176658341	ATM	14	11	108093559	108239826	146268	1	rs12287161	8
473	2.62252837338295	RERE	60	1	8412464	8877699	465236	-1	rs6675857	14
474	1.73025906324295	ATOH1	18	4	94750078	94751142	1065	1	rs4476567	10
475	0.507417370737996	ATOX1	7	5	151122383	151138210	15828	-1	rs17112252	5
476	3.62766139189408	ATP1A1	18	1	116915795	116947396	31602	1	rs879651	10
477	1.31044304449047	ATP1A2	18	1	160085520	160113381	27862	1	rs2753266	10
478	-0.379516976685015	ATP1A3	3	19	42470734	42498382	27649	-1	rs8107107	3
479	1.77310083296328	ATP12A	46	13	25254549	25285923	31375	1	rs9551139	14
480	0.928276810144092	ATP1A4	31	1	160121352	160156767	35416	1	rs10494337	12
481	2.50752494401296	ATP1B1	30	1	169075947	169101960	26014	1	rs11809180	12
482	0.369689307015634	ATP1B2	3	17	7554254	7561089	6836	1	rs1619016	3
483	1.70686041468246	ATP1B3	21	3	141595470	141645382	49913	1	rs1897139	10
486	0.875554996295316	FXYD2	17	11	117690790	117698807	8018	-1	rs12284500	9
487	1.55594151609211	ATP2A1	2	16	28889809	28915830	26022	1	rs6565259	2
488	2.15877019338871	ATP2A2	8	12	110719032	110788898	69867	1	rs3026445	6
489	1.75167330304147	ATP2A3	22	17	3827169	3867736	40568	-1	rs7220105	11
490	0.813422261833673	ATP2B1	25	12	89981826	90049844	68019	-1	rs17017109	11
491	2.09048783546194	ATP2B2	129	3	10365707	10547268	181562	-1	rs11927716	15
492	0.511352856051436	ATP2B3	8	X	152801580	152848387	46808	1	rs2980075	6
493	1.97406810009771	ATP2B4	36	1	203595928	203713209	117282	1	rs4417152	13
495	1.59198533367872	ATP4A	10	19	36041095	36054560	13466	-1	rs9304872	7
496	0.565308423840991	ATP4B	4	13	114303119	114312513	9395	-1	rs6577059	4
498	1.20025582602626	ATP5A1	6	18	43664110	43684199	20090	-1	rs8088881	5
501	2.07180103646907	ALDH7A1	30	5	125877533	125931082	53550	-1	rs6870785	12
509	-0.392766431568668	ATP5C1	5	10	7830093	7849764	19672	1	rs11255370	4
513	1.22416497234301	ATP5D	1	19	1241749	1244824	3076	1	rs1076230	1
515	0.454192890026739	ATP5F1	4	1	111991743	112004540	12798	1	rs12040764	4
516	1.13237692922476	ATP5G1	3	17	46970148	46973233	3086	1	rs684682	3
